flow,product,component,AlAndAlAlloys,CuAndCuAlloys,MaterialShadowWEEE,aggregateBinderMixedMaterials,bitumen,carbon,ceramicComposites,concrete,ferrousMetals,glass,glassAndCeramics,ironWroughtAndCast,non-ferrousMetals,oil4,otherFerrousAlloys,otherMetalsAndMetalAlloys,otherMinerals,otherOrUndefinedMaterials,otherOrganics,plasticComposites,plastics,polymerPA6GF30,polymerPPGF30,polymerPPTF20,polymerPPTF30,reinforcedPlastics,sand,steelAndSteelAlloys,undefinedAndMixedMaterials,wood,total
WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,0.0438657966892819,0.349448246399929,0.281243955345285,0.542958625135893,,,,,0.442257035501343,0.474182902133578,0.457870816234268,,0.16238462187665,,,0.220734820564774,0.0324838855841125,0.56415390594709,0.161207087160364,,0.392426218101596,,,,,,,,0.504994251081316,0.464527080337465,5.094739248092946
WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,,0.0037618713409419,,,,,,,0.0376099856997399,,,,,,,,,,,,,,,,,,,,,,0.0413718570406818
WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),0.0046812994315418,0.256541018131684,,,,,,,0.544573042249717,0.324902170936749,,,,,,,,,,,0.45306796669302,,,,,,,,,,1.5837654974427118
WEEE_generatedDedicated,WEEE_Cat1,MagnetSensor,,0.0918921806266575,,,,,,,0.42224391277967,,,,,,,,,,,,0.0645980756936556,,,,,,,,,,0.5787341690999831
WEEE_generatedDedicated,WEEE_Cat1,PCBWEEECat,,,,,,,,,,,,,,,,,,0.400286668659697,,,,,,,,,,,,,0.400286668659697
WEEE_generatedDedicated,WEEE_Cat1,PCBunspecified,,,,,,,,,0.566647373814281,,,,,,,,,,,,,,,,,,,,,,0.566647373814281
WEEE_generatedDedicated,WEEE_Cat1,PVBacksheet,,,,,,,,,,,,,,,,,,,,0.254259202102037,0.284013154148522,,,,,,,,,,0.538272356250559
WEEE_generatedDedicated,WEEE_Cat1,PVEncapsulationEVA,,,,,,,,,,,,,,,,,,,,,0.521562515651996,,,,,,,,,,0.521562515651996
WEEE_generatedDedicated,WEEE_Cat1,PVFrameAl,,0.381843575827289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381843575827289
WEEE_generatedDedicated,WEEE_Cat1,PVSolarGlass,,,,,,,,,,3.85264093590187e-05,,,,,,,,,,,,,,,,,,,,,3.85264093590187e-05
WEEE_generatedDedicated,WEEE_Cat1,PVcellSi,,,,,,,,,,,,,,,,,,0.257142803515507,,,,,,,,,,,,,0.257142803515507
WEEE_generatedDedicated,WEEE_Cat1,WEEEEvaporator,,0.101879879583636,,,,,,,,,,,,,,,,,,,,,,,,,,0.275271806063787,,,0.37715168564742296
WEEE_generatedDedicated,WEEE_Cat1,brush,0.12327980063243,,,,,,,,0.574978538232046,,,,,,,,,,,,0.034149456611572,,,,,,,,,,0.7324077954760481
WEEE_generatedDedicated,WEEE_Cat1,cableUnspecified,0.192924717514085,0.389219134925067,,,,,,,0.306007256091094,,,,,,,,,,,,0.217573625187782,,,,,,,,,,1.105724733718028
WEEE_generatedDedicated,WEEE_Cat1,cableWPlug,0.111872408552651,,,,,,,,0.247579971080273,,,,,,,,,,,,0.11397113626951,,,,,,,,,,0.473423515902434
WEEE_generatedDedicated,WEEE_Cat1,cableWithConnector,,0.546174045406054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546174045406054
WEEE_generatedDedicated,WEEE_Cat1,cables,,,,,,,,,,,,,,,,,,0.451095417400158,,,,,,,,,,,,,0.451095417400158
WEEE_generatedDedicated,WEEE_Cat1,cablewire,0.555560255076229,0.500302409904954,,,,,,,0.221145786590604,,,,,,,,,,,,0.0493936531703541,,,,,,,,,,1.326402104742141
WEEE_generatedDedicated,WEEE_Cat1,capElectrolytic,,0.198708770982118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.450225873857893,,0.648934644840011
WEEE_generatedDedicated,WEEE_Cat1,casingPlasticBased,0.0225051017597241,0.10123182717031,,,,,,,0.376632247442537,,,,,,,,,,0.0785708561614465,,0.416323279505958,0.355733079441909,0.0290335569733269,,0.12454737642847,,,,0.101484105526321,,1.6060614304100025
WEEE_generatedDedicated,WEEE_Cat1,casingSteelBased,,,,,,,,,0.234802952239686,,,,,,,,,,,,,,,,,,,,,,0.234802952239686
WEEE_generatedDedicated,WEEE_Cat1,casingUnspecified,0.179450180264839,0.16632210186857,,,,,,,0.098713228504112,0.321201244451321,,,,,,0.237890463382299,,,,,0.439310941048209,,,,,,,,0.246883704788406,,1.6897718643077562
WEEE_generatedDedicated,WEEE_Cat1,compressor,,0.222946556178097,,,,,,,,0.423154934131603,,,,,0.280310606142773,,,0.568809397291302,,,0.236925484583361,,,,,,,0.0115643026564574,,,1.7437112809835933
WEEE_generatedDedicated,WEEE_Cat1,displayCRT,0.0094724750218036,,,,,,,,,0.336532635688503,,,,,,,,,,,,,,,,,,,,,0.3460051107103066
WEEE_generatedDedicated,WEEE_Cat1,displayLCD,0.0073382627024766,0.385253448579878,,,,,,,0.438586306938321,0.216838101913374,,,,,,,,,,,0.137540406471399,,,,,,,,0.129217931224477,,1.3147744578299256
WEEE_generatedDedicated,WEEE_Cat1,displayOther,0.476958207212237,0.193359045497507,,,,,,,0.566338313052047,0.180016198671166,,,,,,0.317645205979708,,,,,0.489242869016281,,,,,,,,0.26638664765589,,2.489946487084836
WEEE_generatedDedicated,WEEE_Cat1,driveCDDInt,0.433364350611835,0.152759627698434,,,,,,,0.543159678565695,,,,,,,0.261788770328037,,,,,0.166975430108487,,,,,,,,0.587850653213876,,2.1458985105263637
WEEE_generatedDedicated,WEEE_Cat1,driveFDD,0.0235170797938145,,,,,,,,0.543914187109703,,,,,,,,,,,,,,,,,,,,,,0.5674312669035174
WEEE_generatedDedicated,WEEE_Cat1,driveHDD,0.544601062983634,0.203033263441411,,,,,,,0.0870313404590201,,,,,,,0.0343844855178774,,,,,0.276499183023671,,,,,,,,0.144830992480802,,1.2903803279064154
WEEE_generatedDedicated,WEEE_Cat1,driveUnspecified,,0.460785068151941,,,,,,,0.27751789824646,,,,,,,,,,,,0.375421401590993,,,,,,,,0.567738397115373,,1.6814627651047669
