input_flow,input_layer,input_layer_key,input_sub_layer,input_sub_layer_key,output_flow,output_layer,output_target_key,process,technology,value
WEEE_generatedDedicated,product,WEEE_Cat1,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat1,WEEE_generated,,0.136333333
WEEE_generatedDedicated,product,WEEE_Cat2,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat2,WEEE_generated,,0.115666667
WEEE_generatedDedicated,product,WEEE_Cat3,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat3,WEEE_generated,,0.158
WEEE_generatedDedicated,product,WEEE_Cat4a,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat4a,WEEE_generated,,0.128
WEEE_generatedDedicated,product,WEEE_Cat4b,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat4b,WEEE_generated,,0.273666667
WEEE_generatedDedicated,product,WEEE_Cat5,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat5,WEEE_generated,,0.15
WEEE_generatedDedicated,product,WEEE_Cat6,,,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat6,WEEE_generated,Tech1,0.013333333
WEEE_generatedDedicated,product,WEEE_Cat1,,,WEEE_generatedComplementaryExported,product,WEEE_Cat1,WEEE_generated,,0.136333333
WEEE_generatedDedicated,product,WEEE_Cat2,,,WEEE_generatedComplementaryExported,product,WEEE_Cat2,WEEE_generated,,0.115666667
WEEE_generatedDedicated,product,WEEE_Cat3,,,WEEE_generatedComplementaryExported,product,WEEE_Cat3,WEEE_generated,,0.158
WEEE_generatedDedicated,product,WEEE_Cat4a,,,WEEE_generatedComplementaryExported,product,WEEE_Cat4a,WEEE_generated,,0.128
WEEE_generatedDedicated,product,WEEE_Cat4b,,,WEEE_generatedComplementaryExported,product,WEEE_Cat4b,WEEE_generated,,0.273666667
WEEE_generatedDedicated,product,WEEE_Cat5,,,WEEE_generatedComplementaryExported,product,WEEE_Cat5,WEEE_generated,,0.15
WEEE_generatedDedicated,product,WEEE_Cat6,,,WEEE_generatedComplementaryExported,product,WEEE_Cat6,WEEE_generated,Tech1,0.013333333
WEEE_generatedDedicated,product,WEEE_Cat1,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat1,WEEE_generated,,0.136333333
WEEE_generatedDedicated,product,WEEE_Cat2,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat2,WEEE_generated,,0.115666667
WEEE_generatedDedicated,product,WEEE_Cat3,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat3,WEEE_generated,,0.158
WEEE_generatedDedicated,product,WEEE_Cat4a,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat4a,WEEE_generated,,0.128
WEEE_generatedDedicated,product,WEEE_Cat4b,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat4b,WEEE_generated,,0.273666667
WEEE_generatedDedicated,product,WEEE_Cat5,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat5,WEEE_generated,,0.15
WEEE_generatedDedicated,product,WEEE_Cat6,,,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat6,WEEE_generated,Tech1,0.013333333
WEEE_generatedDedicated,product,WEEE_Cat2,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat2,WEEE_generated,,0.028
WEEE_generatedDedicated,product,WEEE_Cat1,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat1,WEEE_generated,,0.002
WEEE_generatedDedicated,product,WEEE_Cat3,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat3,WEEE_generated,,0.134
WEEE_generatedDedicated,product,WEEE_Cat4a,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat4a,WEEE_generated,,0.004
WEEE_generatedDedicated,product,WEEE_Cat4b,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat4b,WEEE_generated,,0
WEEE_generatedDedicated,product,WEEE_Cat5,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat5,WEEE_generated,,0.179
WEEE_generatedDedicated,product,WEEE_Cat6,,,WEEE_generatedComplementaryMSW,product,WEEE_Cat6,WEEE_generated,Tech1,0.27
WEEE_generatedDedicated,product,WEEE_Cat1,,,WEEE_collected,product,WEEE_Cat1,WEEE_generated,,0.589
WEEE_generatedDedicated,product,WEEE_Cat2,,,WEEE_collected,product,WEEE_Cat2,WEEE_generated,,0.625
WEEE_generatedDedicated,product,WEEE_Cat3,,,WEEE_collected,product,WEEE_Cat3,WEEE_generated,,0.391
WEEE_generatedDedicated,product,WEEE_Cat4a,,,WEEE_collected,product,WEEE_Cat4a,WEEE_generated,,0.612
WEEE_generatedDedicated,product,WEEE_Cat4b,,,WEEE_collected,product,WEEE_Cat4b,WEEE_generated,,0.179
WEEE_generatedDedicated,product,WEEE_Cat5,,,WEEE_collected,product,WEEE_Cat5,WEEE_generated,,0.371
WEEE_generatedDedicated,product,WEEE_Cat6,,,WEEE_collected,product,WEEE_Cat6,WEEE_generated,Tech1,0.12
WEEE_generatedComplementaryMSW,product,WEEE_Cat1,,,WEEE_wasteBinLandfill,product,WEEE_Cat1,WEEE_complementary_collection(MSW),,0.99
WEEE_generatedComplementaryMSW,product,WEEE_Cat2,,,WEEE_wasteBinLandfill,product,WEEE_Cat2,WEEE_complementary_collection(MSW),,0.99
WEEE_generatedComplementaryMSW,product,WEEE_Cat3,,,WEEE_wasteBinLandfill,product,WEEE_Cat3,WEEE_complementary_collection(MSW),,0.8
WEEE_generatedComplementaryMSW,product,WEEE_Cat4a,,,WEEE_wasteBinLandfill,product,WEEE_Cat4a,WEEE_complementary_collection(MSW),,1
WEEE_generatedComplementaryMSW,product,WEEE_Cat4b,,,WEEE_wasteBinLandfill,product,WEEE_Cat4b,WEEE_complementary_collection(MSW),,1
WEEE_generatedComplementaryMSW,product,WEEE_Cat5,,,WEEE_wasteBinLandfill,product,WEEE_Cat5,WEEE_complementary_collection(MSW),,0.8
WEEE_generatedComplementaryMSW,product,WEEE_Cat6,,,WEEE_wasteBinLandfill,product,WEEE_Cat6,WEEE_complementary_collection(MSW),,0.9
WEEE_generatedComplementaryMSW,product,WEEE_Cat1,,,WEEE_wasteBinIncineration,product,WEEE_Cat1,WEEE_complementary_collection(MSW),,0.01
WEEE_generatedComplementaryMSW,product,WEEE_Cat2,,,WEEE_wasteBinIncineration,product,WEEE_Cat2,WEEE_complementary_collection(MSW),,0.01
WEEE_generatedComplementaryMSW,product,WEEE_Cat3,,,WEEE_wasteBinIncineration,product,WEEE_Cat3,WEEE_complementary_collection(MSW),,0.2
WEEE_generatedComplementaryMSW,product,WEEE_Cat4a,,,WEEE_wasteBinIncineration,product,WEEE_Cat4a,WEEE_complementary_collection(MSW),,0
WEEE_generatedComplementaryMSW,product,WEEE_Cat4b,,,WEEE_wasteBinIncineration,product,WEEE_Cat4b,WEEE_complementary_collection(MSW),,0
WEEE_generatedComplementaryMSW,product,WEEE_Cat5,,,WEEE_wasteBinIncineration,product,WEEE_Cat5,WEEE_complementary_collection(MSW),,0.2
WEEE_generatedComplementaryMSW,product,WEEE_Cat6,,,WEEE_wasteBinIncineration,product,WEEE_Cat6,WEEE_complementary_collection(MSW),,0.1
WEEE_collected,product,WEEE_Cat1,,,WEEE_categ_mechRec1,product,WEEE_Cat1,categorizing,,
WEEE_collected,product,WEEE_Cat6,,,WEEE_categ_mechRec1,product,WEEE_Cat6,categorizing,,
WEEE_collected,product,WEEE_Cat2,,,WEEE_categ_mechRec1,product,WEEE_Cat2,categorizing,,
WEEE_collected,product,WEEE_Cat4a,,,WEEE_categ_mechRec1,product,WEEE_Cat4a,categorizing,,
WEEE_collected,product,WEEE_Cat5,,,WEEE_categ_mechRec1,product,WEEE_Cat5,categorizing,,
WEEE_collected,product,WEEE_Cat4b,,,WEEE_categ_mechRec1,product,WEEE_Cat4b,categorizing,,
