scenario,year,region,flow,product,component,material,element,parameterCode,data,unit,DQS
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,e-m,0.14776931297068,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,As,e-m,0.0026361341711086,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Cu,e-m,0.512635774355431,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ga,e-m,0.214658607587648,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mn,e-m,0.0323760422576396,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mo,e-m,0.0187082141726422,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Sm,e-m,0.0712159144848499,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,,m-c,0.067972077846691,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Ag,e-m,0.586775552358292,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Dy,e-m,0.148766629346951,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Zr,e-m,0.264457818294756,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,,m-c,0.0124664605899301,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,MaterialShadowWEEE,,m-c,0.178790987948745,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,e-m,1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,,m-c,0.141680253385712,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ag,e-m,0.196671405241336,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ca,e-m,0.118657502417028,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Cu,e-m,0.262956462012994,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ga,e-m,0.270739189019317,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Mo,e-m,0.0897612136681557,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,O,e-m,0.0289829222964726,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Sm,e-m,0.0322313053446966,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,,m-c,0.104585936953647,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Ag,e-m,0.566687456471036,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Pd,e-m,0.0691969597821312,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Sc,e-m,0.0728708379533835,%,3
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Zr,e-m,0.291244745793449,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,,m-c,0.0295452262984178,%,3
