index,scenario,year,region,flow,product,component,material,element,parameterCode,data,unit,DQS,new_data
2,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,e-m,0.14405798311831,%,3,0.150714674840542
3,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,As,e-m,0.116058156646385,%,2,0.0367416667374381
4,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Cu,e-m,0.0615779751519515,%,3,0.375026080364139
5,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ga,e-m,0.0794984235261221,%,1,0.0726304607729479
6,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mn,e-m,0.128782955775645,%,2,0.123787871903768
7,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mo,e-m,0.452705452863689,%,2,0.202156862554478
8,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Sm,e-m,0.32197416748995,%,1,0.0389423828266863
9,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,,m-c,0.0438657966892819,%,3,0.14593481878675
10,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Ag,e-m,0.00517141909696111,%,3,0.242206454872849
11,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Dy,e-m,0.0942614767901097,%,2,0.738905001168595
12,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Zr,e-m,0.500947824775238,%,1,0.0188885439585561
13,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,,m-c,0.349448246399929,%,3,0.0979986598232637
14,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,MaterialShadowWEEE,,m-c,0.281243955345285,%,2,0.0047709144970342
15,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,e-m,0.0251945347285593,%,2,1
16,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,,m-c,0.542958625135893,%,1,0.0098936499858635
17,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ag,e-m,0.391511662703717,%,1,0.207192558459834
18,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ca,e-m,0.449870550333178,%,2,0.0809019905370785
19,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Cu,e-m,0.381859069434109,%,2,0.178021010670147
20,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ga,e-m,0.220836877641241,%,3,0.0081179422233326
21,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Mo,e-m,0.253780489236713,%,1,0.0276249258171502
22,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,O,e-m,0.329827086255868,%,3,0.233680963794151
23,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Sm,e-m,0.575647508575708,%,3,0.264460608498306
24,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,,m-c,0.442257035501343,%,2,0.0199545903020726
25,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Ag,e-m,0.0427393929734044,%,1,0.248425029973469
26,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Pd,e-m,0.101938906181409,%,2,0.154217075665068
27,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Sc,e-m,0.354776946605381,%,3,0.0069138043351678
28,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Zr,e-m,0.150326223005585,%,1,0.590444090026296
29,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,,m-c,0.474182902133578,%,3,0.0976403812207845
30,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Ag,e-m,0.491343624834963,%,1,0.113611809173636
31,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Pd,e-m,0.490480894345129,%,2,0.833031791919055
32,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Sc,e-m,0.123188076871586,%,1,0.0254862858693059
33,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Zr,e-m,0.393763563606519,%,1,0.0278701130380038
34,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,,m-c,0.457870816234268,%,1,0.392398991895856
35,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,,,c-p,0.120526536061277,%,3,0.0265604005044472
36,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ag,e-m,0.5722030069704,%,2,0.0226695067918749
37,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Al,e-m,0.59140340591256,%,1,0.0959579202169242
38,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,As,e-m,0.130187527055596,%,1,0.0035676528491879
39,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ca,e-m,0.481853268155503,%,1,0.0681042232841774
40,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cl,e-m,0.253933916662773,%,1,0.0037699729499488
41,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cu,e-m,0.0518464624522962,%,1,0.0147568689176796
42,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Dy,e-m,0.241961301812682,%,2,0.0165093102699951
43,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ga,e-m,0.269441757450682,%,1,0.181340052290986
44,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mn,e-m,0.395304382229967,%,3,0.11543214221607
45,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mo,e-m,0.427571759600634,%,1,0.0651218079874252
46,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,O,e-m,0.163479780831576,%,3,0.0745860757553454
47,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Pd,e-m,0.101071553610275,%,2,0.251563116619054
48,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sm,e-m,0.57423216495423,%,1,0.0070072301723592
49,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sr,e-m,0.148247004711119,%,2,0.0230672043517309
50,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Zr,e-m,0.372545302318705,%,2,0.0565469153272413
51,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,,m-c,0.16238462187665,%,3,0.0483490659581349
52,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Ag,e-m,0.26221894852052,%,2,0.219701101812987
53,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Al,e-m,0.493048731233755,%,1,0.286362631841934
54,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Dy,e-m,0.259888023079371,%,3,0.493936266345079
55,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,,m-c,0.220734820564774,%,2,0.0129041187259419
56,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Ag,e-m,0.168963980311539,%,1,0.0332511589205848
57,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Pd,e-m,0.399354872074916,%,1,0.744855851517455
58,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Sc,e-m,0.310159125355837,%,1,0.0635327648475477
59,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Zr,e-m,0.190746228420011,%,1,0.158360224714412
60,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,,m-c,0.0324838855841125,%,2,0.0242388675001299
61,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,Ag,e-m,0.0135291978522684,%,3,1
62,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,,m-c,0.56415390594709,%,2,0.0557427215960798
63,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,Ag,e-m,0.21609864257809,%,3,1
64,OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,,m-c,0.161207087160364,%,1,0.0027899338755632
