Scenario,Year,Location,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,parameterCode,Value,UoM,DQS
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,e-m,0.000522,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,As,e-m,0.97,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Cu,e-m,0.002,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ga,e-m,0.001,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mn,e-m,0.0248,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mo,e-m,0.002,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Sm,e-m,0.0003,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,n/a,m-c,0.000501,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Ag,e-m,0.000843,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Dy,e-m,0.75,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Zr,e-m,0.25,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,n/a,m-c,0.000444,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,MaterialShadowWEEE,n/a,m-c,0.5,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,e-m,0.00743,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,n/a,m-c,0.00549,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ag,e-m,0.0087,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ca,e-m,0.0000373,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Cu,e-m,0.0171,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ga,e-m,0.725,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Mo,e-m,0.0075,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,O,e-m,0.00762,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Sm,e-m,0.005,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,n/a,m-c,0.00171,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Ag,e-m,0.00692,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Pd,e-m,0.265,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Sc,e-m,0.00196,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,Zr,e-m,0.000708,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glass,n/a,m-c,0.00702,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Ag,e-m,0.00761,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Pd,e-m,0.265,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Sc,e-m,0.00196,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,Zr,e-m,0.000708,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,glassAndCeramics,n/a,m-c,0.000941,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,n/a,Ag,e-m,0.6,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,n/a,n/a,c-p,0.148,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,n/a,n/a,m-c,0.25,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ag,e-m,0.00141,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Al,e-m,0.00724,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,As,e-m,0.0285,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ca,e-m,0.0000227,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cl,e-m,0.0000455,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Cu,e-m,0.0000588,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Dy,e-m,0.0005,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Ga,e-m,0.0000294,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mn,e-m,0.000729,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Mo,e-m,0.0000588,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,O,e-m,0.0225,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Pd,e-m,0.00893,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sm,e-m,0.00000882,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Sr,e-m,0.00171,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,Zr,e-m,0.00299,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,non-ferrousMetals,n/a,m-c,0.00203,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Ag,e-m,0.000479,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Al,e-m,0.9,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,Dy,e-m,0.1,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMetalsAndMetalAlloys,n/a,m-c,0.000459,%,2
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Ag,e-m,0.00387,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Pd,e-m,0.265,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Sc,e-m,0.00196,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,Zr,e-m,0.000708,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherMinerals,n/a,m-c,0.00367,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,Ag,e-m,0.0012,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrUndefinedMaterials,n/a,m-c,0.00101,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,Ag,e-m,0.00116,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,otherOrganics,n/a,m-c,0.000464,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,plastics,Ag,e-m,0.00343,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,plastics,n/a,m-c,0.00343,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,Ag,e-m,0.00037,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,undefinedAndMixedMaterials,n/a,m-c,0.00037,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,wood,Ag,e-m,0.00648,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ComponentShadowWEEE,wood,n/a,m-c,0.00603,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,CuAndCuAlloys,n/a,m-c,0.087,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,ferrousMetals,n/a,m-c,0.913,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,ConductivitySensor,n/a,n/a,c-p,0.000785,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LED,n/a,n/a,c-p,0.0000513,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ag,e-m,0.00541,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,As,e-m,0.97,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Cu,e-m,0.002,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Ga,e-m,0.001,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mn,e-m,0.0248,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Mo,e-m,0.002,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,Sm,e-m,0.0003,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),AlAndAlAlloys,n/a,m-c,0.00576,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Ag,e-m,0.0459,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Dy,e-m,0.75,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,Zr,e-m,0.25,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),CuAndCuAlloys,n/a,m-c,0.0489,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ag,e-m,0.296,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ca,e-m,0.0159,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Cu,e-m,0.0933,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Ga,e-m,0.827,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Mo,e-m,0.0088,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,O,e-m,0.0415,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,Sm,e-m,0.0132,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),ferrousMetals,n/a,m-c,0.315,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Ag,e-m,0.0108,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Pd,e-m,0.265,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Sc,e-m,0.00196,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,Zr,e-m,0.000708,%,1
OBS,2020,EU27+4,WEEE_generatedDedicated,WEEE_Cat1,LidarSensor (&lt;15cm),glass,n/a,m-c,0.0115,%,1
