,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,data
,flow,product,component,material,element,flow,product,component,material,element,data
0,WEEE_generatedComplementaryMetalScrap,WEEE_Cat1,,,,WEEE_generatedDedicated,WEEE_Cat1,,,,0.21
1,WEEE_generatedComplementaryMetalScrap,WEEE_Cat2,,,,WEEE_generatedDedicated,WEEE_Cat2,,,,0.32
2,WEEE_generatedComplementaryMetalScrap,WEEE_Cat3,,,,WEEE_generatedDedicated,WEEE_Cat3,,,,0.15
3,WEEE_generatedComplementaryMetalScrap,WEEE_Cat4a,,,,WEEE_generatedDedicated,WEEE_Cat4a,,,,0.45
4,WEEE_generatedComplementaryMetalScrap,WEEE_Cat4b,,,,WEEE_generatedDedicated,WEEE_Cat4b,,,,0.55
5,WEEE_generatedComplementaryMetalScrap,WEEE_Cat5,,,,WEEE_generatedDedicated,WEEE_Cat5,,,,0.53
6,WEEE_generatedComplementaryMetalScrap,WEEE_Cat6,,,,WEEE_generatedDedicated,WEEE_Cat6,,,,0.49
7,WEEE_generatedComplementaryExported,WEEE_Cat1,,,,WEEE_generatedDedicated,WEEE_Cat1,,,,0.08
8,WEEE_generatedComplementaryExported,WEEE_Cat2,,,,WEEE_generatedDedicated,WEEE_Cat2,,,,0.12
9,WEEE_generatedComplementaryExported,WEEE_Cat3,,,,WEEE_generatedDedicated,WEEE_Cat3,,,,0.19
10,WEEE_generatedComplementaryExported,WEEE_Cat4a,,,,WEEE_generatedDedicated,WEEE_Cat4a,,,,0.09
11,WEEE_generatedComplementaryExported,WEEE_Cat4b,,,,WEEE_generatedDedicated,WEEE_Cat4b,,,,0.33
12,WEEE_generatedComplementaryExported,WEEE_Cat5,,,,WEEE_generatedDedicated,WEEE_Cat5,,,,0.54
13,WEEE_generatedComplementaryExported,WEEE_Cat6,,,,WEEE_generatedDedicated,WEEE_Cat6,,,,0.1
14,WEEE_generatedComplementaryUndocumented,WEEE_Cat1,,,,WEEE_generatedDedicated,WEEE_Cat1,,,,0.49
15,WEEE_generatedComplementaryUndocumented,WEEE_Cat2,,,,WEEE_generatedDedicated,WEEE_Cat2,,,,0.46
