scenario,region,flow,product,component,material,element,parameterCode,unit,process,technology
OBS,EU27+4,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,c-p,wt%,WEEE_complementary_collection(MSW),
,,WEEE_2RM_thermal2Smelter_other,WEEE_Cat2,ConductivitySensor,CuAndCuAlloys,Al,e-m,,WEEE_generated,
,,WEEE_mechRec2_chem,WEEE_Cat3,LED,MaterialShadowWEEE,As,m-c,,categorizing,
,,WEEE_generatedComplementaryUndocumented,WEEE_Cat4a,LidarSensor (&lt;15cm),aggregateBinderMixedMaterials,Bi,,,chemical process,
,,WEEE_2RM_mechRec1Smelter_other,WEEE_Cat4b,MagnetSensor,bitumen,Ca,,,dismantling,
,,WEEE_generatedComplementaryMSW,WEEE_Cat5,PCBWEEECat,carbon,Cl,,,shredding,
,,WEEE_wasteBinLandfill,WEEE_Cat6,PCBunspecified,ceramicComposites,Cu,,,thermal process,
,,WEEE_2RM_mechRec2Smelter_other,,PVBacksheet,concrete,Dy,,,,
,,WEEE_wasteBinIncineration,,PVEncapsulationEVA,ferrousMetals,Ga,,,,
,,WEEE_thermal_chem,,PVFrameAl,glass,Mn,,,,
,,WEEE_2RM_chem2Smelter_other,,PVSolarGlass,glassAndCeramics,Mo,,,,
,,WEEE_generatedComplementaryMetalScrap,,PVcellSi,ironWroughtAndCast,O,,,,
,,WEEE_collected,,WEEEEvaporator,non-ferrousMetals,Pd,,,,
,,WEEE_generatedDedicated,,brush,oil4,Sc,,,,
,,WEEE_mechRec2_thermal,,cableUnspecified,otherFerrousAlloys,Sm,,,,
,,WEEE_mechRec1_mechRec2,,cableWOPlug,otherMetalsAndMetalAlloys,Sr,,,,
,,WEEE_chem_thermal,,cableWPlug,otherMinerals,Zr,,,,
,,WEEE_categ_mechRec2,,cableWithConnector,otherOrUndefinedMaterials,,,,,
,,WEEE_categ_mechRec1,,cables,otherOrganics,,,,,
,,,,cablewire,plasticComposites,,,,,
,,,,capElectrolytic,plastics,,,,,
,,,,casingPlasticBased,polymerPA6GF30,,,,,
,,,,casingSteelBased,polymerPPGF30,,,,,
,,,,casingUnspecified,polymerPPTF20,,,,,
,,,,coldCathodeLamp,polymerPPTF30,,,,,
,,,,compContainHazardSubst,reinforcedPlastics,,,,,
,,,,compressor,sand,,,,,
,,,,condensator,steelAndSteelAlloys,,,,,
,,,,contactor,undefinedAndMixedMaterials,,,,,
,,,,displayCRT,wood,,,,,
,,,,displayLCD,,,,,,
,,,,displayLCDunder100cm2,,,,,,
,,,,displayOther,,,,,,
,,,,displayPlasma,,,,,,
,,,,driveCDDExt,,,,,,
,,,,driveCDDInt,,,,,,
,,,,driveFDD,,,,,,
,,,,driveHDD,,,,,,
,,,,driveUnspecified,,,,,,
,,,,electricEngine,,,,,,
,,,,filterFoamBased,,,,,,
,,,,fuse,,,,,,
,,,,gear,,,,,,
,,,,heatingCoolingEEEairCondenser,,,,,,
,,,,heatingCoolingEEEfan,,,,,,
,,,,heatingCoolingEEEheatSink,,,,,,
,,,,inductor,,,,,,
,,,,insulation,,,,,,
,,,,keyboard,,,,,,
,,,,knob,,,,,,
,,,,lenseAssembly,,,,,,
,,,,lighting,,,,,,
,,,,lightingFlash,,,,,,
,,,,magnetPermanent,,,,,,
,,,,magnetron,,,,,,
,,,,mainboardInclCPUgpu,,,,,,
,,,,non-electricCoil,,,,,,
,,,,nonElectricCoil,,,,,,
,,,,onOffSwitch,,,,,,
,,,,otherElectricCompUnspecified,,,,,,
,,,,otherNonElectricCompUnspecified,,,,,,
,,,,passiveJunctionBox,,,,,,
,,,,pcbWEEECat,,,,,,
,,,,plug,,,,,,
,,,,powerSupply,,,,,,
,,,,printedCircuitBoard,,,,,,
,,,,pump,,,,,,
,,,,refrigerant,,,,,,
,,,,remoteControl,,,,,,
,,,,resistor,,,,,,
,,,,rotor,,,,,,
,,,,screw,,,,,,
,,,,sensorUnspecified,,,,,,
,,,,shadowComponentWEEE,,,,,,
,,,,solenoidValve,,,,,,
,,,,speakerEEE2,,,,,,
,,,,switch,,,,,,
,,,,tonerCartridge,,,,,,
,,,,transformator,,,,,,
,,,,transmission,,,,,,
,,,,transmitter,,,,,,
,,,,wheel,,,,,,
