,flow,layer,key,data
0,WEEE_generatedComplementaryExported,product,WEEE_Cat1,135511.97030558067
1,WEEE_generatedComplementaryExported,product,WEEE_Cat2,123339.6500870779
2,WEEE_generatedComplementaryExported,product,WEEE_Cat3,20937.232031893116
3,WEEE_generatedComplementaryExported,product,WEEE_Cat4a,418518.51673793973
4,WEEE_generatedComplementaryExported,product,WEEE_Cat4b,48473.303733785186
5,WEEE_generatedComplementaryExported,product,WEEE_Cat5,2789496.226482073
6,WEEE_generatedComplementaryExported,product,WEEE_Cat6,86681.8941458569
7,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat1,830010.8181216817
8,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat2,472801.9920004653
9,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat3,25345.07035439693
10,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat4a,1720576.1243670855
11,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat4b,36722.19979832211
12,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat5,1239776.100658699
13,WEEE_generatedComplementaryUndocumented,product,WEEE_Cat6,381400.3342417703
14,WEEE_generatedComplementaryMSW,product,WEEE_Cat1,931644.7958508673
15,WEEE_generatedComplementaryMSW,product,WEEE_Cat2,534471.8170440042
16,WEEE_generatedComplementaryMSW,product,WEEE_Cat3,62811.69609567934
17,WEEE_generatedComplementaryMSW,product,WEEE_Cat4a,1720576.1243670855
18,WEEE_generatedComplementaryMSW,product,WEEE_Cat4b,42597.75176605364
19,WEEE_generatedComplementaryMSW,product,WEEE_Cat5,2117950.8386252774
20,WEEE_generatedComplementaryMSW,product,WEEE_Cat6,43340.94707292845
21,WEEE_wasteBinLandfill,product,WEEE_Cat1,335392.1265063122
22,WEEE_wasteBinLandfill,product,WEEE_Cat2,90860.20889748073
23,WEEE_wasteBinLandfill,product,WEEE_Cat3,18215.391867747006
24,WEEE_wasteBinLandfill,product,WEEE_Cat4a,498967.07606645476
25,WEEE_wasteBinLandfill,product,WEEE_Cat4b,8945.527870871263
26,WEEE_wasteBinLandfill,product,WEEE_Cat5,698923.7767463416
27,WEEE_wasteBinLandfill,product,WEEE_Cat6,16036.150416983526
28,WEEE_wasteBinIncineration,product,WEEE_Cat1,139746.7193776301
29,WEEE_wasteBinIncineration,product,WEEE_Cat2,112239.08157924088
30,WEEE_wasteBinIncineration,product,WEEE_Cat3,21355.97667253098
31,WEEE_wasteBinIncineration,product,WEEE_Cat4a,980728.3908892387
32,WEEE_wasteBinIncineration,product,WEEE_Cat4b,23002.78595366897
33,WEEE_wasteBinIncineration,product,WEEE_Cat5,720103.2851325944
34,WEEE_wasteBinIncineration,product,WEEE_Cat6,17336.378829171383
35,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat1,355718.92205214925
36,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat2,328905.73356554104
37,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat3,16529.3937093893
38,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat4a,2092592.5836896987
39,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat4b,80788.83955630864
40,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat5,2737838.888954627
41,WEEE_generatedComplementaryMetalScrap,product,WEEE_Cat6,424741.28131469875
42,WEEE_collected,product,WEEE_Cat1,948583.7921390649
43,WEEE_collected,product,WEEE_Cat2,185009.47513061683
44,WEEE_collected,product,WEEE_Cat3,18733.31287064121
45,WEEE_collected,product,WEEE_Cat4a,1255555.5502138194
46,WEEE_collected,product,WEEE_Cat4b,54348.85570151672
47,WEEE_collected,product,WEEE_Cat5,568230.7128019037
48,WEEE_collected,product,WEEE_Cat6,277382.06126674206
49,WEEE_generatedDedicated,product,WEEE_Cat1,1693899.6288197585
50,WEEE_generatedDedicated,product,WEEE_Cat2,1027830.4173923158
51,WEEE_generatedDedicated,product,WEEE_Cat3,110195.95806259534
52,WEEE_generatedDedicated,product,WEEE_Cat4a,4650205.741532664
53,WEEE_generatedDedicated,product,WEEE_Cat4b,146888.79919328843
54,WEEE_generatedDedicated,product,WEEE_Cat5,5165733.752744579
55,WEEE_generatedDedicated,product,WEEE_Cat6,866818.9414585689
56,WEEE_categ_mechRec2,product,WEEE_Cat1,464806.0581481418
57,WEEE_categ_mechRec2,product,WEEE_Cat2,16650.852761755516
58,WEEE_categ_mechRec2,product,WEEE_Cat3,5057.994475073127
59,WEEE_categ_mechRec2,product,WEEE_Cat4a,527333.3310898041
60,WEEE_categ_mechRec2,product,WEEE_Cat4b,29891.870635834195
61,WEEE_categ_mechRec2,product,WEEE_Cat5,227292.2851207615
62,WEEE_categ_mechRec2,product,WEEE_Cat6,158107.77492204297
63,WEEE_categ_mechRec1,product,WEEE_Cat1,322518.48932728206
64,WEEE_categ_mechRec1,product,WEEE_Cat2,99905.1165705331
65,WEEE_categ_mechRec1,product,WEEE_Cat3,7493.325148256485
66,WEEE_categ_mechRec1,product,WEEE_Cat4a,175777.77702993472
67,WEEE_categ_mechRec1,product,WEEE_Cat4b,4347.908456121338
68,WEEE_categ_mechRec1,product,WEEE_Cat5,79552.29979226652
69,WEEE_categ_mechRec1,product,WEEE_Cat6,47154.95041534615
0,WEEE_generatedComplementaryExported,component,ComponentShadowWEEE,17173.551412973073
1,WEEE_generatedComplementaryExported,component,ConductivitySensor,28708.016595372366
2,WEEE_generatedComplementaryExported,component,LED,24601.286192333082
3,WEEE_generatedComplementaryExported,component,LidarSensor (&lt;15cm),11580.730044094991
4,WEEE_generatedComplementaryExported,component,MagnetSensor,59945.27741462772
5,WEEE_generatedComplementaryExported,component,PCBWEEECat,29505.153500574652
6,WEEE_generatedComplementaryExported,component,PCBunspecified,19470.18681804221
7,WEEE_generatedComplementaryExported,component,PVBacksheet,30823.022424468647
8,WEEE_generatedComplementaryExported,component,PVEncapsulationEVA,88273.78059517227
9,WEEE_generatedComplementaryExported,component,PVFrameAl,68908.22098378466
10,WEEE_generatedComplementaryExported,component,PVSolarGlass,31637.41199508877
11,WEEE_generatedComplementaryExported,component,PVcellSi,15473.639752491506
12,WEEE_generatedComplementaryExported,component,WEEEEvaporator,22388.968407693195
13,WEEE_generatedComplementaryExported,component,brush,14877.437326175626
14,WEEE_generatedComplementaryExported,component,cableUnspecified,23705.711207802997
15,WEEE_generatedComplementaryExported,component,cableWOPlug,14305.389792503709
16,WEEE_generatedComplementaryExported,component,cableWPlug,20691.429277881558
17,WEEE_generatedComplementaryExported,component,cableWithConnector,7963.004658797225
18,WEEE_generatedComplementaryExported,component,cables,149674.22945565422
19,WEEE_generatedComplementaryExported,component,cablewire,19265.071940382266
20,WEEE_generatedComplementaryExported,component,capElectrolytic,44101.617860253704
21,WEEE_generatedComplementaryExported,component,casingPlasticBased,50227.06128556166
22,WEEE_generatedComplementaryExported,component,casingSteelBased,20932.414255449796
23,WEEE_generatedComplementaryExported,component,casingUnspecified,31820.12053162075
24,WEEE_generatedComplementaryExported,component,coldCathodeLamp,109455.0001914219
25,WEEE_generatedComplementaryExported,component,compContainHazardSubst,17645.309752893416
26,WEEE_generatedComplementaryExported,component,compressor,82498.28562464693
27,WEEE_generatedComplementaryExported,component,condensator,48741.50631287199
28,WEEE_generatedComplementaryExported,component,contactor,8258.535065269276
29,WEEE_generatedComplementaryExported,component,displayCRT,68453.91023430186
30,WEEE_generatedComplementaryExported,component,displayLCD,53055.97107648965
31,WEEE_generatedComplementaryExported,component,displayLCDunder100cm2,29875.495119295872
32,WEEE_generatedComplementaryExported,component,displayOther,61607.75058936226
33,WEEE_generatedComplementaryExported,component,displayPlasma,142958.2210929699
34,WEEE_generatedComplementaryExported,component,driveCDDExt,7252.47017629258
35,WEEE_generatedComplementaryExported,component,driveCDDInt,54345.44308773871
36,WEEE_generatedComplementaryExported,component,driveFDD,28263.91478551838
37,WEEE_generatedComplementaryExported,component,driveHDD,60869.64523352022
38,WEEE_generatedComplementaryExported,component,driveUnspecified,27199.624342514446
39,WEEE_generatedComplementaryExported,component,electricEngine,161612.0792781212
40,WEEE_generatedComplementaryExported,component,filterFoamBased,12721.466685386647
41,WEEE_generatedComplementaryExported,component,fuse,99974.4936778082
42,WEEE_generatedComplementaryExported,component,gear,11795.620312051904
43,WEEE_generatedComplementaryExported,component,heatingCoolingEEEairCondenser,22813.561386676472
44,WEEE_generatedComplementaryExported,component,heatingCoolingEEEfan,42802.08056800769
45,WEEE_generatedComplementaryExported,component,heatingCoolingEEEheatSink,18226.35584645794
46,WEEE_generatedComplementaryExported,component,inductor,17458.20212534827
47,WEEE_generatedComplementaryExported,component,insulation,67757.12963970631
48,WEEE_generatedComplementaryExported,component,keyboard,36705.67161558801
49,WEEE_generatedComplementaryExported,component,knob,60878.35366266722
50,WEEE_generatedComplementaryExported,component,lenseAssembly,3513.530572521161
51,WEEE_generatedComplementaryExported,component,lighting,55941.90042329108
52,WEEE_generatedComplementaryExported,component,lightingFlash,20826.032170813767
53,WEEE_generatedComplementaryExported,component,magnetPermanent,63563.620560024996
54,WEEE_generatedComplementaryExported,component,magnetron,11388.679745887948
55,WEEE_generatedComplementaryExported,component,mainboardInclCPUgpu,123273.18835562655
56,WEEE_generatedComplementaryExported,component,non-electricCoil,35906.703937501996
57,WEEE_generatedComplementaryExported,component,nonElectricCoil,61648.87560650471
58,WEEE_generatedComplementaryExported,component,onOffSwitch,86388.95150170743
59,WEEE_generatedComplementaryExported,component,otherElectricCompUnspecified,56172.5894139603
60,WEEE_generatedComplementaryExported,component,otherNonElectricCompUnspecified,35243.83919007518
61,WEEE_generatedComplementaryExported,component,passiveJunctionBox,29377.7114187002
62,WEEE_generatedComplementaryExported,component,pcbWEEECat,77372.63439361815
63,WEEE_generatedComplementaryExported,component,plug,60517.36004477315
64,WEEE_generatedComplementaryExported,component,powerSupply,31383.854810912067
65,WEEE_generatedComplementaryExported,component,printedCircuitBoard,25586.86647860861
66,WEEE_generatedComplementaryExported,component,pump,22007.588542038564
67,WEEE_generatedComplementaryExported,component,refrigerant,38275.34763758832
68,WEEE_generatedComplementaryExported,component,remoteControl,4900.498285582476
69,WEEE_generatedComplementaryExported,component,resistor,22621.921429459133
70,WEEE_generatedComplementaryExported,component,rotor,58060.868655099905
71,WEEE_generatedComplementaryExported,component,screw,8346.00929457361
72,WEEE_generatedComplementaryExported,component,sensorUnspecified,24166.662155226808
73,WEEE_generatedComplementaryExported,component,shadowComponentWEEE,17528.28634157169
74,WEEE_generatedComplementaryExported,component,solenoidValve,17330.982476380654
75,WEEE_generatedComplementaryExported,component,speakerEEE2,104365.8524551926
76,WEEE_generatedComplementaryExported,component,switch,26345.415986168216
77,WEEE_generatedComplementaryExported,component,tonerCartridge,17540.126605571255
78,WEEE_generatedComplementaryExported,component,transformator,6606.502912861184
79,WEEE_generatedComplementaryExported,component,transmission,101346.10767769447
80,WEEE_generatedComplementaryExported,component,transmitter,33334.04981578853
81,WEEE_generatedComplementaryExported,component,wheel,142797.40341714534
82,WEEE_generatedComplementaryUndocumented,component,ComponentShadowWEEE,47653.320019164734
