layer,key,WEEE_categ_mechRec1,WEEE_categ_mechRec2,WEEE_collected,WEEE_generatedComplementaryExported,WEEE_generatedComplementaryMSW,WEEE_generatedComplementaryMetalScrap,WEEE_generatedComplementaryUndocumented,WEEE_generatedDedicated,WEEE_wasteBinIncineration,WEEE_wasteBinLandfill,WEEE_2RM_mechRec1Smelter_other,WEEE_mechRec1_mechRec2,WEEE_2RM_mechRec2Smelter_other,WEEE_mechRec2_chem,WEEE_mechRec2_thermal,WEEE_2RM_chem2Smelter_other,WEEE_2RM_thermal2Smelter_other,WEEE_chem_thermal,WEEE_thermal_chem
product,WEEE_Cat1,322518.48932728206,464806.0581481418,948583.7921390649,135511.97030558067,931644.7958508673,355718.92205214925,830010.8181216817,1693899.6288197585,139746.7193776301,335392.1265063122,,,,,,,,,
product,WEEE_Cat2,99905.1165705331,16650.852761755516,185009.47513061683,123339.6500870779,534471.8170440042,328905.73356554104,472801.9920004653,1027830.4173923158,112239.08157924088,90860.20889748073,,,,,,,,,
product,WEEE_Cat3,7493.325148256485,5057.994475073127,18733.31287064121,20937.232031893116,62811.69609567934,16529.3937093893,25345.07035439693,110195.95806259534,21355.97667253098,18215.391867747006,,,,,,,,,
product,WEEE_Cat4a,175777.77702993472,527333.3310898041,1255555.5502138194,418518.51673793973,1720576.1243670855,2092592.5836896987,1720576.1243670855,4650205.741532664,980728.3908892387,498967.07606645476,,,,,,,,,
product,WEEE_Cat4b,4347.908456121338,29891.870635834195,54348.85570151672,48473.303733785186,42597.75176605364,80788.83955630864,36722.19979832211,146888.79919328843,23002.78595366897,8945.527870871263,,,,,,,,,
product,WEEE_Cat5,79552.29979226652,227292.2851207615,568230.7128019037,2789496.226482073,2117950.8386252774,2737838.888954627,1239776.100658699,5165733.752744579,720103.2851325944,698923.7767463416,,,,,,,,,
product,WEEE_Cat6,47154.95041534615,158107.77492204297,277382.06126674206,86681.8941458569,43340.94707292845,424741.28131469875,381400.3342417703,866818.9414585689,17336.378829171383,16036.150416983526,,,,,,,,,
component,ComponentShadowWEEE,8230.225097125482,14167.482229580839,33368.279214690425,17173.551412973073,44168.113040702956,48655.05766963257,47653.320019164734,119159.28297311006,15945.115230331812,12150.345696831308,1632.6854757384338,1328.2864887363528,,,,,,,
component,ConductivitySensor,13590.578282889832,25160.441165405035,55312.37355652679,28708.016595372366,69782.05044956383,69129.35247838654,67795.08930033482,173751.34756415526,24787.958519414835,21900.30369291164,348.9959910022902,279.19679280183215,,,,,,,
component,LED,6454.0955253189795,11957.306646932891,26120.580493490976,24601.286192333082,37757.060313909096,39643.51797398409,33503.749217284785,93830.47685416452,12271.292415076996,12042.048321151453,40.88678900895018,122.66036702685055,,,,,,,
component,LidarSensor (&lt;15cm),6895.50211038269,7538.792770258185,23922.204436882355,11580.730044094991,44906.51351778804,39214.883176877345,41499.91409664283,101640.64276179945,16317.632524059067,10403.677337804407,441.1637526680382,709.6982108138006,,,,,,,
component,MagnetSensor,19142.2157983918,47266.46155829047,108749.99417041047,59945.27741462772,152485.76545081346,174935.2145349443,144431.94450610838,397677.69428777514,73738.24869495489,46245.14842906119,209.80443964851236,274.3596518480546,,,,,,,
component,PCBWEEECat,5072.57104838063,8579.033250902254,19148.08763183435,29505.153500574652,34960.65277661705,35136.371264330126,25897.29399409945,80275.43632532803,10164.362456242288,11367.592982846147,15.192501280062197,7.826440053365374,,,,,,,
component,PCBunspecified,10827.870569314211,19658.95323712914,41199.70296707443,19470.18681804221,45326.23336478033,44998.34571429245,47598.89659022864,117729.92205030879,13568.584048128012,14745.625356221182,10.723317171675758,31.633785656443482,,,,,,,
component,PVBacksheet,12418.626909666587,21441.988437763575,49198.72794224502,30823.022424468647,70126.39259011282,65910.18217873145,62909.74294006123,165418.1525304807,24658.520365725715,21310.234116294578,1599.154459813982,4143.263827699862,,,,,,,
component,PVEncapsulationEVA,9147.744951823184,21575.874078204015,51245.82491411821,88273.78059517227,100824.41377204441,129731.0141006124,84811.97034123958,269172.28270782455,39706.16941184559,30679.188296324268,695.0817793580949,467.8435053371792,,,,,,,
component,PVFrameAl,10185.386542345826,19195.80990991171,42910.32876836305,68908.22098378466,79021.03917323617,86900.38013317362,60727.698675959036,190961.71508419677,25404.379771199143,25583.151768560503,80.04578290998107,333.52409545825446,,,,,,,
component,PVSolarGlass,4745.2839306284695,11442.235272122944,27086.14641267939,31637.41199508877,47404.03442667838,56281.021212805135,40002.833112470835,121765.96722527493,20556.363909807966,14312.14791404453,611.164468353711,724.3430736043981,,,,,,,
component,PVcellSi,12819.440537913199,21754.386435260447,46391.73178174287,15473.639752491506,52233.85266310908,42480.163613845994,50824.86245084473,121321.8088639082,15651.792357946102,17120.97593060417,57.01689472612539,68.42027367135047,,,,,,,
component,WEEEEvaporator,6869.813346045938,11568.67403386663,24759.015657466807,22388.968407693195,34760.600610609654,31223.494229917756,28662.904413493343,81050.59138664074,9360.348771927976,11051.976360393284,36.70586462322938,32.3875276087318,,,,,,,
component,brush,6032.393313434402,10670.630495811612,24941.734047864375,14877.437326175626,33356.73285802657,38150.649559211226,35967.873224164396,91621.38321633392,12012.031750282551,9226.624870043692,18.537343055599113,25.27819507581697,,,,,,,
component,cableUnspecified,13182.153204480066,32555.168205796985,72168.17458608522,23705.711207802997,83997.12674170322,103385.64021631624,93384.19642522672,241619.35034748464,41379.936579884685,25296.321981348876,1705.2741648701012,374.3284752153881,,,,,,,
component,cableWOPlug,1897.0456635722537,4963.731223326236,10927.469263572413,14305.389792503709,16553.54743101958,24023.922949381187,16591.825697082622,49960.30599391175,6614.378166323311,4878.675129611652,168.64993189621924,239.37409688495637,,,,,,,
component,cableWPlug,7931.351726654857,12340.374560699976,28379.786786880817,20691.429277881558,40909.967735077305,38352.9485992434,37794.343446113395,98515.37447420714,12206.808871664438,12192.327943472734,525.4907781035591,525.4907781035591,,,,,,,
component,cableWithConnector,4424.355891928004,9310.354487669976,20070.735419162545,7963.004658797225,21765.925076468844,26432.413461030283,25533.402162702234,64149.57771020805,8620.738615301429,6511.298750726938,593.2871627568251,496.2038088511628,,,,,,,
component,cables,9908.917664031116,21971.238887548134,50723.2682446261,149674.22945565422,130628.57716491258,160125.87312766945,86954.75415091915,320007.9617378181,43273.08105485454,42853.967093115134,1068.3144932222626,1931.1838915940903,,,,,,,
component,cablewire,9832.562844332551,19941.959723139287,47134.172375023416,19265.071940382266,65137.32855510118,67202.62348193904,62446.99719220196,162639.76766219627,29023.709206064414,18932.458147252568,7.590416503897391,2.7964692382779863,,,,,,,
component,capElectrolytic,5892.30142574923,14421.249503424991,32024.002272203514,44101.617860253704,53869.96776010792,68291.95531982665,46805.03167940442,144967.84912876246,21430.2109593047,17188.498452542844,16.45166755410103,19.53635522049497,,,,,,,
component,casingPlasticBased,10020.580714126947,15849.99750946755,36912.73898565315,50227.06128556166,66550.26447291044,65897.84553877579,52030.096134292275,153577.95804902588,19674.01819535674,20568.37087941952,717.9167212922025,2093.9237704355905,,,,,,,
component,casingSteelBased,9746.475866216366,14645.160569580692,31764.862426657193,20932.414255449796,43112.51233186432,31483.681134221984,35168.20772690903,90100.98365994653,10648.099709180922,14213.385926877705,12.519449346642432,2.4494574808648237,,,,,,,
component,casingUnspecified,8436.449931663541,21825.80344485882,51951.11896920829,31820.12053162075,76337.34284465796,93866.05705907544,74985.0658359626,207470.26855018057,38174.14917460991,22146.634514085144,150.79317546419486,103.67030813163396,,,,,,,
component,coldCathodeLamp,19649.550020171075,34678.91807266806,75911.51391424348,109455.0001914219,129715.71331950776,137211.455611865,103061.26813933061,311898.6217053906,38047.82792885798,42648.69607292321,488.9531326188938,239.86380090738186,,,,,,,
component,compContainHazardSubst,9694.015659996441,15888.918107115516,34438.74848389583,17645.309752893416,43000.07265342399,35672.31999987629,39242.00799347047,98234.39120363978,12368.164344416313,13800.934203517923,157.32626409520935,117.27957868915604,,,,,,,
component,compressor,12892.275766464436,31579.51074910013,72097.77967561316,82498.28562464693,120079.41748333299,143021.15187900377,101521.4715809243,308073.7329842245,51184.60354065105,37505.59016717417,89.90675558454365,79.53289917094246,,,,,,,
component,condensator,8589.029747447177,21765.90338531848,48693.517068992616,48741.50631287199,74575.64891531358,91000.6142897236,66211.8792310164,197432.22666001142,32392.238122233884,23077.27360017861,16.140945910755235,12.105709433066425,,,,,,,
component,contactor,1540.7001428735225,4158.963171341437,8092.620063901269,8258.535065269276,7811.200367425148,15261.81901594444,11571.471760315782,32039.00448500235,2641.2888379768146,2487.469479184351,179.55846785890836,170.42837627286218,,,,,,,
component,displayCRT,8634.034468172533,18900.16912857026,46728.63110812632,68453.91023430186,92818.15493355792,108270.9768743194,74296.90716687072,231075.05625059665,38080.072565944814,27918.079860883216,71.87374905402478,23.95791635134159,,,,,,,
component,displayLCD,5669.763227291233,11465.926950416724,24889.51193807523,53055.97107648965,50315.716082490406,59584.64982154635,37075.943785774674,125419.72637427838,15494.116385044052,16836.366596402346,0.1647470069675998,0.47776632020603943,,,,,,,
component,displayLCDunder100cm2,8157.249354835895,15119.462656358854,33706.99650568428,29875.495119295872,49586.86702303019,51965.07539846508,44355.00614676448,122823.99713680035,17080.774322714413,15647.593692345832,499.24523737867315,102.78578416619742,,,,,,,
component,displayOther,7300.619621431859,13579.155248965848,34012.00883766309,61607.75058936226,72508.85188510004,84727.92087943493,57245.40411665474,180402.6084578534,25929.956194283153,21473.130389056238,796.6872268733722,105.22284128516236,,,,,,,
