,flow,product,component,material,element,mass
0,WEEE_generatedComplementaryExported,WEEE_Cat1,,,,135511.97030558067
1,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,,,1162.7157639498887
2,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,,79.03220642077663
3,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ag,11.678534845355127
4,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,As,0.20833949996391776
5,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Cu,40.514736337533094
6,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Ga,16.964943384863485
7,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mn,2.5587500547935598
8,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Mo,1.4785514442563572
9,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,AlAndAlAlloys,Sm,5.628350854011034
10,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,,14.494950248571756
11,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Ag,8.505282438511655
12,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Dy,2.15636489103177
13,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,CuAndCuAlloys,Zr,3.833302919028318
14,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,MaterialShadowWEEE,,207.8831001401804
15,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,,164.73386405198193
16,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,164.73386405198193
17,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,,121.60371758347456
18,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ag,23.9159740197125
19,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ca,14.429193413080721
20,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Cu,31.976483343377776
21,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Ga,32.92289188028396
22,WEEE_generatedComplementaryExported,WEEE_Cat1,ComponentShadowWEEE,ferrousMetals,Mo,10.915297276852323
