,inflow,inflow,inflow,inflow,inflow,outflow,outflow,outflow,outflow,outflow,info,other
,flows,products,components,materials,elements,flows,products,components,materials,elements,data,priority
0,F1,P1,C1,∅,∅,F2,∅,C1,∅,∅,0.41,22
1,F1,P1,C2,∅,∅,F2,∅,C2,∅,∅,0.07,22
2,F1,P1,C*,M1,∅,F4,∅,∅,M1,∅,0.22,212
3,F1,P1,C*,M2,∅,F4,∅,∅,M2,∅,0.14,212
4,F2,P*,C1,M1,∅,F3,∅,∅,M1,∅,0.09,221
5,F2,P*,C2,M2,∅,F3,∅,∅,M2,∅,0.46,221
6,F2,P*,C1,M1,∅,F4,∅,∅,M1,∅,0.36,221
7,F2,P*,C2,M2,∅,F4,∅,∅,M2,∅,0.28,221
8,F3,P*,C*,M1,E1,F5,∅,∅,∅,E1,0.39,2211
9,F3,P*,C*,M2,E2,F5,∅,∅,∅,E2,0.17,2211
10,F4,P*,C*,M1,E1,F6,∅,∅,∅,E1,0.73,2211
11,F4,P*,C*,M2,E2,F6,∅,∅,∅,E2,0.67,2211
