,info,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info
,original row,flow,product,component,material,element,flow,product,component,material,element,data,priority,process,technology
538,538,1,4,26,11,6,16,4,26,11,6,0.4,2111,thermal process,
538,538,1,4,26,19,6,16,4,26,19,6,0.4,2111,thermal process,
538,538,1,4,26,25,6,16,4,26,25,6,0.4,2111,thermal process,
538,538,1,4,26,24,6,16,4,26,24,6,0.4,2111,thermal process,
538,538,1,4,26,23,6,16,4,26,23,6,0.4,2111,thermal process,
538,538,1,4,26,22,6,16,4,26,22,6,0.4,2111,thermal process,
538,538,1,4,26,21,6,16,4,26,21,6,0.4,2111,thermal process,
538,538,1,4,26,20,6,16,4,26,20,6,0.4,2111,thermal process,
538,538,1,4,26,18,6,16,4,26,18,6,0.4,2111,thermal process,
538,538,1,4,26,12,6,16,4,26,12,6,0.4,2111,thermal process,
538,538,1,4,26,17,6,16,4,26,17,6,0.4,2111,thermal process,
538,538,1,4,26,26,6,16,4,26,26,6,0.4,2111,thermal process,
538,538,1,4,27,15,6,16,4,27,15,6,0.4,2111,thermal process,
538,538,1,4,26,15,6,16,4,26,15,6,0.4,2111,thermal process,
538,538,1,4,26,14,6,16,4,26,14,6,0.4,2111,thermal process,
538,538,1,4,26,13,6,16,4,26,13,6,0.4,2111,thermal process,
538,538,1,4,26,16,6,16,4,26,16,6,0.4,2111,thermal process,
538,538,1,4,26,29,6,16,4,26,29,6,0.4,2111,thermal process,
538,538,1,4,26,27,6,16,4,26,27,6,0.4,2111,thermal process,
538,538,1,4,27,6,6,16,4,27,6,6,0.4,2111,thermal process,
538,538,1,4,27,12,6,16,4,27,12,6,0.4,2111,thermal process,
538,538,1,4,27,14,6,16,4,27,14,6,0.4,2111,thermal process,
538,538,1,4,27,11,6,16,4,27,11,6,0.4,2111,thermal process,
538,538,1,4,27,10,6,16,4,27,10,6,0.4,2111,thermal process,
538,538,1,4,27,9,6,16,4,27,9,6,0.4,2111,thermal process,
538,538,1,4,27,8,6,16,4,27,8,6,0.4,2111,thermal process,
538,538,1,4,27,7,6,16,4,27,7,6,0.4,2111,thermal process,
538,538,1,4,27,5,6,16,4,27,5,6,0.4,2111,thermal process,
538,538,1,4,26,28,6,16,4,26,28,6,0.4,2111,thermal process,
538,538,1,4,27,4,6,16,4,27,4,6,0.4,2111,thermal process,
538,538,1,4,27,3,6,16,4,27,3,6,0.4,2111,thermal process,
538,538,1,4,26,10,6,16,4,26,10,6,0.4,2111,thermal process,
538,538,1,4,27,1,6,16,4,27,1,6,0.4,2111,thermal process,
538,538,1,4,27,0,6,16,4,27,0,6,0.4,2111,thermal process,
538,538,1,4,27,-1,6,16,4,27,-1,6,0.4,2111,thermal process,
538,538,1,4,27,13,6,16,4,27,13,6,0.4,2111,thermal process,
538,538,1,4,27,2,6,16,4,27,2,6,0.4,2111,thermal process,
538,538,1,4,26,3,6,16,4,26,3,6,0.4,2111,thermal process,
538,538,1,4,26,9,6,16,4,26,9,6,0.4,2111,thermal process,
538,538,1,4,25,10,6,16,4,25,10,6,0.4,2111,thermal process,
538,538,1,4,25,17,6,16,4,25,17,6,0.4,2111,thermal process,
538,538,1,4,25,16,6,16,4,25,16,6,0.4,2111,thermal process,
538,538,1,4,25,15,6,16,4,25,15,6,0.4,2111,thermal process,
538,538,1,4,25,14,6,16,4,25,14,6,0.4,2111,thermal process,
538,538,1,4,25,13,6,16,4,25,13,6,0.4,2111,thermal process,
538,538,1,4,25,12,6,16,4,25,12,6,0.4,2111,thermal process,
538,538,1,4,25,11,6,16,4,25,11,6,0.4,2111,thermal process,
538,538,1,4,25,9,6,16,4,25,9,6,0.4,2111,thermal process,
538,538,1,4,25,19,6,16,4,25,19,6,0.4,2111,thermal process,
538,538,1,4,25,8,6,16,4,25,8,6,0.4,2111,thermal process,
538,538,1,4,25,7,6,16,4,25,7,6,0.4,2111,thermal process,
538,538,1,4,25,6,6,16,4,25,6,6,0.4,2111,thermal process,
538,538,1,4,25,5,6,16,4,25,5,6,0.4,2111,thermal process,
538,538,1,4,25,4,6,16,4,25,4,6,0.4,2111,thermal process,
538,538,1,4,25,3,6,16,4,25,3,6,0.4,2111,thermal process,
538,538,1,4,25,2,6,16,4,25,2,6,0.4,2111,thermal process,
538,538,1,4,25,18,6,16,4,25,18,6,0.4,2111,thermal process,
538,538,1,4,25,20,6,16,4,25,20,6,0.4,2111,thermal process,
538,538,1,4,26,8,6,16,4,26,8,6,0.4,2111,thermal process,
538,538,1,4,26,0,6,16,4,26,0,6,0.4,2111,thermal process,
538,538,1,4,26,7,6,16,4,26,7,6,0.4,2111,thermal process,
538,538,1,4,26,6,6,16,4,26,6,6,0.4,2111,thermal process,
538,538,1,4,30,1,6,16,4,30,1,6,0.4,2111,thermal process,
538,538,1,4,26,5,6,16,4,26,5,6,0.4,2111,thermal process,
538,538,1,4,26,4,6,16,4,26,4,6,0.4,2111,thermal process,
538,538,1,4,26,2,6,16,4,26,2,6,0.4,2111,thermal process,
538,538,1,4,26,1,6,16,4,26,1,6,0.4,2111,thermal process,
538,538,1,4,26,-1,6,16,4,26,-1,6,0.4,2111,thermal process,
538,538,1,4,25,21,6,16,4,25,21,6,0.4,2111,thermal process,
538,538,1,4,25,29,6,16,4,25,29,6,0.4,2111,thermal process,
538,538,1,4,25,28,6,16,4,25,28,6,0.4,2111,thermal process,
538,538,1,4,25,27,6,16,4,25,27,6,0.4,2111,thermal process,
538,538,1,4,25,26,6,16,4,25,26,6,0.4,2111,thermal process,
538,538,1,4,25,25,6,16,4,25,25,6,0.4,2111,thermal process,
538,538,1,4,25,24,6,16,4,25,24,6,0.4,2111,thermal process,
538,538,1,4,25,22,6,16,4,25,22,6,0.4,2111,thermal process,
538,538,1,4,25,23,6,16,4,25,23,6,0.4,2111,thermal process,
538,538,1,4,28,22,6,16,4,28,22,6,0.4,2111,thermal process,
538,538,1,4,27,16,6,16,4,27,16,6,0.4,2111,thermal process,
538,538,1,4,27,17,6,16,4,27,17,6,0.4,2111,thermal process,
538,538,1,4,29,13,6,16,4,29,13,6,0.4,2111,thermal process,
538,538,1,4,29,12,6,16,4,29,12,6,0.4,2111,thermal process,
538,538,1,4,29,11,6,16,4,29,11,6,0.4,2111,thermal process,
538,538,1,4,29,10,6,16,4,29,10,6,0.4,2111,thermal process,
538,538,1,4,29,9,6,16,4,29,9,6,0.4,2111,thermal process,
538,538,1,4,29,8,6,16,4,29,8,6,0.4,2111,thermal process,
538,538,1,4,29,7,6,16,4,29,7,6,0.4,2111,thermal process,
538,538,1,4,29,6,6,16,4,29,6,6,0.4,2111,thermal process,
538,538,1,4,29,5,6,16,4,29,5,6,0.4,2111,thermal process,
538,538,1,4,29,4,6,16,4,29,4,6,0.4,2111,thermal process,
538,538,1,4,29,3,6,16,4,29,3,6,0.4,2111,thermal process,
538,538,1,4,29,2,6,16,4,29,2,6,0.4,2111,thermal process,
538,538,1,4,29,1,6,16,4,29,1,6,0.4,2111,thermal process,
538,538,1,4,29,0,6,16,4,29,0,6,0.4,2111,thermal process,
538,538,1,4,29,-1,6,16,4,29,-1,6,0.4,2111,thermal process,
538,538,1,4,28,29,6,16,4,28,29,6,0.4,2111,thermal process,
538,538,1,4,28,28,6,16,4,28,28,6,0.4,2111,thermal process,
538,538,1,4,29,14,6,16,4,29,14,6,0.4,2111,thermal process,
538,538,1,4,29,15,6,16,4,29,15,6,0.4,2111,thermal process,
538,538,1,4,29,16,6,16,4,29,16,6,0.4,2111,thermal process,
538,538,1,4,29,26,6,16,4,29,26,6,0.4,2111,thermal process,
538,538,1,4,30,0,6,16,4,30,0,6,0.4,2111,thermal process,
538,538,1,4,30,-1,6,16,4,30,-1,6,0.4,2111,thermal process,
538,538,1,4,29,29,6,16,4,29,29,6,0.4,2111,thermal process,
538,538,1,4,29,28,6,16,4,29,28,6,0.4,2111,thermal process,
538,538,1,4,29,27,6,16,4,29,27,6,0.4,2111,thermal process,
538,538,1,4,25,0,6,16,4,25,0,6,0.4,2111,thermal process,
538,538,1,4,19,26,6,16,4,19,26,6,0.4,2111,thermal process,
538,538,1,4,29,25,6,16,4,29,25,6,0.4,2111,thermal process,
538,538,1,4,29,17,6,16,4,29,17,6,0.4,2111,thermal process,
538,538,1,4,29,24,6,16,4,29,24,6,0.4,2111,thermal process,
538,538,1,4,29,23,6,16,4,29,23,6,0.4,2111,thermal process,
538,538,1,4,29,22,6,16,4,29,22,6,0.4,2111,thermal process,
538,538,1,4,29,21,6,16,4,29,21,6,0.4,2111,thermal process,
538,538,1,4,29,20,6,16,4,29,20,6,0.4,2111,thermal process,
538,538,1,4,29,19,6,16,4,29,19,6,0.4,2111,thermal process,
538,538,1,4,29,18,6,16,4,29,18,6,0.4,2111,thermal process,
538,538,1,4,28,27,6,16,4,28,27,6,0.4,2111,thermal process,
538,538,1,4,28,26,6,16,4,28,26,6,0.4,2111,thermal process,
538,538,1,4,28,25,6,16,4,28,25,6,0.4,2111,thermal process,
