,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info,info
,flow,product,component,material,element,flow,product,component,material,element,data,values_count,priority,priority_count,original row
0,WEEE_2RM_thermal2Smelter_other,,,,Ag,WEEE_chem_thermal,,,,Ag,[0.59 0.18],2,[2111],1,[541 538]
1,WEEE_2RM_thermal2Smelter_other,,,,Al,WEEE_chem_thermal,,,,Al,[0.53 0.06],2,[2111],1,[542 544]
2,WEEE_2RM_thermal2Smelter_other,,,,Cu,WEEE_chem_thermal,,,,Cu,[0.4  0.18],2,[2111],1,[540 545]
3,WEEE_2RM_thermal2Smelter_other,,,AlAndAlAlloys,Ag,WEEE_chem_thermal,,,AlAndAlAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
4,WEEE_2RM_thermal2Smelter_other,,,AlAndAlAlloys,Al,WEEE_chem_thermal,,,AlAndAlAlloys,Al,[0.53 0.06],2,[2111],1,[542 544]
5,WEEE_2RM_thermal2Smelter_other,,,AlAndAlAlloys,Cu,WEEE_chem_thermal,,,AlAndAlAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
6,WEEE_2RM_thermal2Smelter_other,,,CuAndCuAlloys,Ag,WEEE_chem_thermal,,,CuAndCuAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
7,WEEE_2RM_thermal2Smelter_other,,,CuAndCuAlloys,Al,WEEE_chem_thermal,,,CuAndCuAlloys,Al,[0.53 0.06],2,[2111],1,[542 544]
8,WEEE_2RM_thermal2Smelter_other,,,CuAndCuAlloys,Cu,WEEE_chem_thermal,,,CuAndCuAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
9,WEEE_2RM_thermal2Smelter_other,,,MaterialShadowWEEE,Ag,WEEE_chem_thermal,,,MaterialShadowWEEE,Ag,[0.59 0.18],2,[2111],1,[541 538]
10,WEEE_2RM_thermal2Smelter_other,,,MaterialShadowWEEE,Al,WEEE_chem_thermal,,,MaterialShadowWEEE,Al,[0.06 0.53],2,[2111],1,[544 542]
11,WEEE_2RM_thermal2Smelter_other,,,MaterialShadowWEEE,Cu,WEEE_chem_thermal,,,MaterialShadowWEEE,Cu,[0.4  0.18],2,[2111],1,[540 545]
12,WEEE_2RM_thermal2Smelter_other,,,aggregateBinderMixedMaterials,Ag,WEEE_chem_thermal,,,aggregateBinderMixedMaterials,Ag,[0.59 0.18],2,[2111],1,[541 538]
13,WEEE_2RM_thermal2Smelter_other,,,aggregateBinderMixedMaterials,Al,WEEE_chem_thermal,,,aggregateBinderMixedMaterials,Al,[0.06 0.53],2,[2111],1,[544 542]
14,WEEE_2RM_thermal2Smelter_other,,,aggregateBinderMixedMaterials,Cu,WEEE_chem_thermal,,,aggregateBinderMixedMaterials,Cu,[0.4  0.18],2,[2111],1,[540 545]
15,WEEE_2RM_thermal2Smelter_other,,,bitumen,Ag,WEEE_chem_thermal,,,bitumen,Ag,[0.59 0.18],2,[2111],1,[541 538]
16,WEEE_2RM_thermal2Smelter_other,,,bitumen,Al,WEEE_chem_thermal,,,bitumen,Al,[0.06 0.53],2,[2111],1,[544 542]
17,WEEE_2RM_thermal2Smelter_other,,,bitumen,Cu,WEEE_chem_thermal,,,bitumen,Cu,[0.4  0.18],2,[2111],1,[540 545]
18,WEEE_2RM_thermal2Smelter_other,,,carbon,Ag,WEEE_chem_thermal,,,carbon,Ag,[0.59 0.18],2,[2111],1,[541 538]
19,WEEE_2RM_thermal2Smelter_other,,,carbon,Al,WEEE_chem_thermal,,,carbon,Al,[0.06 0.53],2,[2111],1,[544 542]
20,WEEE_2RM_thermal2Smelter_other,,,carbon,Cu,WEEE_chem_thermal,,,carbon,Cu,[0.4  0.18],2,[2111],1,[540 545]
21,WEEE_2RM_thermal2Smelter_other,,,ceramicComposites,Ag,WEEE_chem_thermal,,,ceramicComposites,Ag,[0.59 0.18],2,[2111],1,[541 538]
22,WEEE_2RM_thermal2Smelter_other,,,ceramicComposites,Al,WEEE_chem_thermal,,,ceramicComposites,Al,[0.06 0.53],2,[2111],1,[544 542]
23,WEEE_2RM_thermal2Smelter_other,,,ceramicComposites,Cu,WEEE_chem_thermal,,,ceramicComposites,Cu,[0.4  0.18],2,[2111],1,[540 545]
24,WEEE_2RM_thermal2Smelter_other,,,concrete,Ag,WEEE_chem_thermal,,,concrete,Ag,[0.59 0.18],2,[2111],1,[541 538]
25,WEEE_2RM_thermal2Smelter_other,,,concrete,Al,WEEE_chem_thermal,,,concrete,Al,[0.06 0.53],2,[2111],1,[544 542]
26,WEEE_2RM_thermal2Smelter_other,,,concrete,Cu,WEEE_chem_thermal,,,concrete,Cu,[0.4  0.18],2,[2111],1,[540 545]
27,WEEE_2RM_thermal2Smelter_other,,,ferrousMetals,Ag,WEEE_chem_thermal,,,ferrousMetals,Ag,[0.59 0.18],2,[2111],1,[541 538]
28,WEEE_2RM_thermal2Smelter_other,,,ferrousMetals,Al,WEEE_chem_thermal,,,ferrousMetals,Al,[0.06 0.53],2,[2111],1,[544 542]
29,WEEE_2RM_thermal2Smelter_other,,,ferrousMetals,Cu,WEEE_chem_thermal,,,ferrousMetals,Cu,[0.4  0.18],2,[2111],1,[540 545]
30,WEEE_2RM_thermal2Smelter_other,,,glass,Ag,WEEE_chem_thermal,,,glass,Ag,[0.59 0.18],2,[2111],1,[541 538]
31,WEEE_2RM_thermal2Smelter_other,,,glass,Al,WEEE_chem_thermal,,,glass,Al,[0.06 0.53],2,[2111],1,[544 542]
32,WEEE_2RM_thermal2Smelter_other,,,glass,Cu,WEEE_chem_thermal,,,glass,Cu,[0.4  0.18],2,[2111],1,[540 545]
33,WEEE_2RM_thermal2Smelter_other,,,glassAndCeramics,Ag,WEEE_chem_thermal,,,glassAndCeramics,Ag,[0.59 0.18],2,[2111],1,[541 538]
34,WEEE_2RM_thermal2Smelter_other,,,glassAndCeramics,Al,WEEE_chem_thermal,,,glassAndCeramics,Al,[0.06 0.53],2,[2111],1,[544 542]
35,WEEE_2RM_thermal2Smelter_other,,,glassAndCeramics,Cu,WEEE_chem_thermal,,,glassAndCeramics,Cu,[0.4  0.18],2,[2111],1,[540 545]
36,WEEE_2RM_thermal2Smelter_other,,,ironWroughtAndCast,Ag,WEEE_chem_thermal,,,ironWroughtAndCast,Ag,[0.59 0.18],2,[2111],1,[541 538]
37,WEEE_2RM_thermal2Smelter_other,,,ironWroughtAndCast,Al,WEEE_chem_thermal,,,ironWroughtAndCast,Al,[0.06 0.53],2,[2111],1,[544 542]
38,WEEE_2RM_thermal2Smelter_other,,,ironWroughtAndCast,Cu,WEEE_chem_thermal,,,ironWroughtAndCast,Cu,[0.4  0.18],2,[2111],1,[540 545]
39,WEEE_2RM_thermal2Smelter_other,,,non-ferrousMetals,Ag,WEEE_chem_thermal,,,non-ferrousMetals,Ag,[0.59 0.18],2,[2111],1,[541 538]
40,WEEE_2RM_thermal2Smelter_other,,,non-ferrousMetals,Al,WEEE_chem_thermal,,,non-ferrousMetals,Al,[0.06 0.53],2,[2111],1,[544 542]
41,WEEE_2RM_thermal2Smelter_other,,,non-ferrousMetals,Cu,WEEE_chem_thermal,,,non-ferrousMetals,Cu,[0.4  0.18],2,[2111],1,[540 545]
42,WEEE_2RM_thermal2Smelter_other,,,oil4,Ag,WEEE_chem_thermal,,,oil4,Ag,[0.59 0.18],2,[2111],1,[541 538]
43,WEEE_2RM_thermal2Smelter_other,,,oil4,Al,WEEE_chem_thermal,,,oil4,Al,[0.06 0.53],2,[2111],1,[544 542]
44,WEEE_2RM_thermal2Smelter_other,,,oil4,Cu,WEEE_chem_thermal,,,oil4,Cu,[0.4  0.18],2,[2111],1,[540 545]
45,WEEE_2RM_thermal2Smelter_other,,,otherFerrousAlloys,Ag,WEEE_chem_thermal,,,otherFerrousAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
46,WEEE_2RM_thermal2Smelter_other,,,otherFerrousAlloys,Al,WEEE_chem_thermal,,,otherFerrousAlloys,Al,[0.06 0.53],2,[2111],1,[544 542]
47,WEEE_2RM_thermal2Smelter_other,,,otherFerrousAlloys,Cu,WEEE_chem_thermal,,,otherFerrousAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
48,WEEE_2RM_thermal2Smelter_other,,,otherMetalsAndMetalAlloys,Ag,WEEE_chem_thermal,,,otherMetalsAndMetalAlloys,Ag,[0.59 0.18],2,[2111],1,[541 538]
49,WEEE_2RM_thermal2Smelter_other,,,otherMetalsAndMetalAlloys,Al,WEEE_chem_thermal,,,otherMetalsAndMetalAlloys,Al,[0.06 0.53],2,[2111],1,[544 542]
50,WEEE_2RM_thermal2Smelter_other,,,otherMetalsAndMetalAlloys,Cu,WEEE_chem_thermal,,,otherMetalsAndMetalAlloys,Cu,[0.4  0.18],2,[2111],1,[540 545]
51,WEEE_2RM_thermal2Smelter_other,,,otherMinerals,Ag,WEEE_chem_thermal,,,otherMinerals,Ag,[0.59 0.18],2,[2111],1,[541 538]
52,WEEE_2RM_thermal2Smelter_other,,,otherMinerals,Al,WEEE_chem_thermal,,,otherMinerals,Al,[0.06 0.53],2,[2111],1,[544 542]
53,WEEE_2RM_thermal2Smelter_other,,,otherMinerals,Cu,WEEE_chem_thermal,,,otherMinerals,Cu,[0.4  0.18],2,[2111],1,[540 545]
