,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info
,flow,product,component,material,element,flow,product,component,material,element,data,priority,process,technology
0,WEEE_generatedComplementaryMetalScrap,WEEE_Cat1,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat1,C*,M*,E*,0.21,1112,,
1,WEEE_generatedComplementaryMetalScrap,WEEE_Cat2,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat2,C*,M*,E*,0.32,1112,,
2,WEEE_generatedComplementaryMetalScrap,WEEE_Cat3,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat3,C*,M*,E*,0.15,1112,,
3,WEEE_generatedComplementaryMetalScrap,WEEE_Cat4a,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4a,C*,M*,E*,0.45,1112,,
4,WEEE_generatedComplementaryMetalScrap,WEEE_Cat4b,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4b,C*,M*,E*,0.55,1112,,
5,WEEE_generatedComplementaryMetalScrap,WEEE_Cat5,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat5,C*,M*,E*,0.53,1112,,
6,WEEE_generatedComplementaryMetalScrap,WEEE_Cat6,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat6,C*,M*,E*,0.49,1112,,
7,WEEE_generatedComplementaryExported,WEEE_Cat1,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat1,C*,M*,E*,0.08,1112,,
8,WEEE_generatedComplementaryExported,WEEE_Cat2,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat2,C*,M*,E*,0.12,1112,,
9,WEEE_generatedComplementaryExported,WEEE_Cat3,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat3,C*,M*,E*,0.19,1112,,
10,WEEE_generatedComplementaryExported,WEEE_Cat4a,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4a,C*,M*,E*,0.09,1112,,
11,WEEE_generatedComplementaryExported,WEEE_Cat4b,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat4b,C*,M*,E*,0.33,1112,,
12,WEEE_generatedComplementaryExported,WEEE_Cat5,C*,M*,E*,WEEE_generatedDedicated,WEEE_Cat5,C*,M*,E*,0.54,1112,,
