input_flow,input_group,input_member,output_flow,output_group,output_member,process,technology,distribution_coeff,transformative_coeff,value
WEEE_INFLOW,WEEE_Cat1,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat1,,WEEE_generated,,1,0.409,0.409
WEEE_INFLOW,WEEE_Cat2,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat2,,WEEE_generated,,1,0.347,0.347
WEEE_INFLOW,WEEE_Cat3,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat3,,WEEE_generated,,1,0.474,0.474
WEEE_INFLOW,WEEE_Cat4a,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat4a,,WEEE_generated,,1,0.384,0.384
WEEE_INFLOW,WEEE_Cat4b,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat4b,,WEEE_generated,,1,0.821,0.821
WEEE_INFLOW,WEEE_Cat5,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat5,,WEEE_generated,,1,0.45,0.45
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat6,,WEEE_generated,Tech1,0.4,0.1,0.04
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_Cat6,,WEEE_generated,Tech2,0.6,0.7,0.42
WEEE_INFLOW,WEEE_Cat2,,WEEE_generatedComplementaryMSW,WEEE_Cat2,,WEEE_generated,,1,0.028,0.028
WEEE_INFLOW,WEEE_Cat1,,WEEE_generatedComplementaryMSW,WEEE_Cat1,,WEEE_generated,,1,0.002,0.002
WEEE_INFLOW,WEEE_Cat3,,WEEE_generatedComplementaryMSW,WEEE_Cat3,,WEEE_generated,,1,0.134,0.134
WEEE_INFLOW,WEEE_Cat4a,,WEEE_generatedComplementaryMSW,WEEE_Cat4a,,WEEE_generated,,1,0.004,0.004
WEEE_INFLOW,WEEE_Cat4b,,WEEE_generatedComplementaryMSW,WEEE_Cat4b,,WEEE_generated,,1,0,0
WEEE_INFLOW,WEEE_Cat5,,WEEE_generatedComplementaryMSW,WEEE_Cat5,,WEEE_generated,,1,0.179,0.179
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedComplementaryMSW,WEEE_Cat6,,WEEE_generated,Tech1,0.4,0.6,0.24
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedComplementaryMSW,WEEE_Cat6,,WEEE_generated,Tech2,0.6,0.05,0.03
WEEE_INFLOW,WEEE_Cat1,,WEEE_generatedDedicated,WEEE_Cat1,,WEEE_generated,,1,0.589,0.589
WEEE_INFLOW,WEEE_Cat2,,WEEE_generatedDedicated,WEEE_Cat2,,WEEE_generated,,1,0.625,0.625
WEEE_INFLOW,WEEE_Cat3,,WEEE_generatedDedicated,WEEE_Cat3,,WEEE_generated,,1,0.391,0.391
WEEE_INFLOW,WEEE_Cat4a,,WEEE_generatedDedicated,WEEE_Cat4a,,WEEE_generated,,1,0.612,0.612
WEEE_INFLOW,WEEE_Cat4b,,WEEE_generatedDedicated,WEEE_Cat4b,,WEEE_generated,,1,0.179,0.179
WEEE_INFLOW,WEEE_Cat5,,WEEE_generatedDedicated,WEEE_Cat5,,WEEE_generated,,1,0.371,0.371
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedDedicated,WEEE_Cat6,,WEEE_generated,Tech1,0.4,0.3,0.12
WEEE_INFLOW,WEEE_Cat6,,WEEE_generatedDedicated,WEEE_Cat6,,WEEE_generated,Tech2,0.6,0.25,0.15
WEEE_generatedComplementaryMSW,WEEE_Cat1,,WEEE_wasteBinLandfill,WEEE_Cat1,,WEEE_complementary_collection(MSW),,1,0.99,0.99
WEEE_generatedComplementaryMSW,WEEE_Cat2,,WEEE_wasteBinLandfill,WEEE_Cat2,,WEEE_complementary_collection(MSW),,1,0.99,0.99
WEEE_generatedComplementaryMSW,WEEE_Cat3,,WEEE_wasteBinLandfill,WEEE_Cat3,,WEEE_complementary_collection(MSW),,1,0.8,0.8
WEEE_generatedComplementaryMSW,WEEE_Cat4a,,WEEE_wasteBinLandfill,WEEE_Cat4a,,WEEE_complementary_collection(MSW),,1,1,1
WEEE_generatedComplementaryMSW,WEEE_Cat4b,,WEEE_wasteBinLandfill,WEEE_Cat4b,,WEEE_complementary_collection(MSW),,1,1,1
WEEE_generatedComplementaryMSW,WEEE_Cat5,,WEEE_wasteBinLandfill,WEEE_Cat5,,WEEE_complementary_collection(MSW),,1,0.8,0.8
WEEE_generatedComplementaryMSW,WEEE_Cat6,,WEEE_wasteBinLandfill,WEEE_Cat6,,WEEE_complementary_collection(MSW),,1,0.9,0.9
WEEE_generatedComplementaryMSW,WEEE_Cat1,,WEEE_wasteBinIncineration,WEEE_Cat1,,WEEE_complementary_collection(MSW),,1,0.01,0.01
WEEE_generatedComplementaryMSW,WEEE_Cat2,,WEEE_wasteBinIncineration,WEEE_Cat2,,WEEE_complementary_collection(MSW),,1,0.01,0.01
WEEE_generatedComplementaryMSW,WEEE_Cat3,,WEEE_wasteBinIncineration,WEEE_Cat3,,WEEE_complementary_collection(MSW),,1,0.2,0.2
WEEE_generatedComplementaryMSW,WEEE_Cat4a,,WEEE_wasteBinIncineration,WEEE_Cat4a,,WEEE_complementary_collection(MSW),,1,0,0
WEEE_generatedComplementaryMSW,WEEE_Cat4b,,WEEE_wasteBinIncineration,WEEE_Cat4b,,WEEE_complementary_collection(MSW),,1,0,0
WEEE_generatedComplementaryMSW,WEEE_Cat5,,WEEE_wasteBinIncineration,WEEE_Cat5,,WEEE_complementary_collection(MSW),,1,0.2,0.2
WEEE_generatedComplementaryMSW,WEEE_Cat6,,WEEE_wasteBinIncineration,WEEE_Cat6,,WEEE_complementary_collection(MSW),,1,0.1,0.1
WEEE_generatedDedicated,WEEE_Cat1,,WEEE_collected,WEEE_Cat1,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat2,,WEEE_collected,WEEE_Cat2,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat3,,WEEE_collected,WEEE_Cat3,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat4a,,WEEE_collected,WEEE_Cat4a,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat4b,,WEEE_collected,WEEE_Cat4b,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat5,,WEEE_collected,WEEE_Cat5,,WEEE_dedicated_collection,,1,1,1
WEEE_generatedDedicated,WEEE_Cat6,,WEEE_collected,WEEE_Cat6,,WEEE_dedicated_collection,,1,1,1
WEEE_collected,WEEE_Cat1,,WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat6,,WEEE_smallIT,WEEE_Cat6,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat2,,WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat4a,,WEEE_largeEquipment,WEEE_Cat4a,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat5,,WEEE_smallEquipment,WEEE_Cat5,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat4b,,WEEE_PVPanels,WEEE_Cat4b,,WEEE_categorizing,,1,1,1
WEEE_collected,WEEE_Cat3,,WEEE_lampsDirect_(without_LED),WEEE_Cat3,,WEEE_categorizing,,1,1,1
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_ironCircuit,AgAlloyUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_smallIT,WEEE_Cat6,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_largeEquipment,WEEE_Cat4a,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_smallEquipment,WEEE_Cat5,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_PVPanels,WEEE_Cat4b,,WEEE_ironCircuit,M*,,WEEE_step1,,1,1,1
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_smallIT,WEEE_Cat6,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_smallIT,WEEE_Cat6,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_largeEquipment,WEEE_Cat4a,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_largeEquipment,WEEE_Cat4a,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_smallEquipment,WEEE_Cat5,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_smallEquipment,WEEE_Cat5,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_PVPanels,WEEE_Cat4b,,WEEE_ironCircuit,Cables,,WEEE_step1,,1,0.05,0.05
WEEE_PVPanels,WEEE_Cat4b,,WEEE_ironCircuit,PCBUnspecified,,WEEE_step1,,1,0.05,0.05
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_temperatureExchangeEquipment,WEEE_Cat1,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_smallIT,WEEE_Cat6,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_smallIT,WEEE_Cat6,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_screensAndMonitors,WEEE_Cat2,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_largeEquipment,WEEE_Cat4a,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_largeEquipment,WEEE_Cat4a,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_smallEquipment,WEEE_Cat5,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_smallEquipment,WEEE_Cat5,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_PVPanels,WEEE_Cat4b,,WEEE_2RM_mechRec1Smelter_CuScrap,Cables,,WEEE_step1,,1,0.95,0.95
WEEE_PVPanels,WEEE_Cat4b,,WEEE_2RM_mechRec1Smelter_CuScrap,PCBUnspecified,,WEEE_step1,,1,0.95,0.95
WEEE_lampsDirect_(without_LED),WEEE_Cat3,,WEEE_2RM_mechRecLampsSmelter_CuScrap,PCBUnspecified,,Lamps comminution and separation,,1,0.95,0.95
WEEE_ironCircuit,M*,,WEEE_2RM_mechRec2Smelter_CuScrap,M*,,WEEE_step2,,1,0.5,0.5
WEEE_ironCircuit,AluminiumAlloyUnspecified,,WEEE_2RM_mechRec2Smelter_CuScrap,AluminiumAlloyUnspecified,,WEEE_step2,,1,0.05,0.05
WEEE_ironCircuit,Brass,,WEEE_2RM_mechRec2Smelter_CuScrap,Brass,,WEEE_step2,,1,0.8,0.8
WEEE_ironCircuit,Bronze,,WEEE_2RM_mechRec2Smelter_CuScrap,Bronze,,WEEE_step2,,1,0.85,0.85
WEEE_ironCircuit,CopperAlloyUnspecified,,WEEE_2RM_mechRec2Smelter_CuScrap,CopperAlloyUnspecified,,WEEE_step2,,1,0.95,0.95
WEEE_ironCircuit,C*,Cu,WEEE_2RM_mechRec2Smelter_CuScrap,M_gen,Cu,WEEE_step2,,1,0.9,0.9
WEEE_ironCircuit,C*,Al,WEEE_2RM_mechRec2Smelter_CuScrap,M_gen,Al,WEEE_step2,,1,0.01,0.01
WEEE_ironCircuit,M*,,WEEE_2RM_mechRec2Smelter_AlScrap,M*,,WEEE_step2,,1,0.5,0.5
WEEE_ironCircuit,AluminiumAlloyUnspecified,,WEEE_2RM_mechRec2Smelter_AlScrap,AluminiumAlloyUnspecified,,WEEE_step2,,1,0.95,0.95
WEEE_ironCircuit,Brass,,WEEE_2RM_mechRec2Smelter_AlScrap,Brass,,WEEE_step2,,1,0.2,0.2
