Year,Level 1,Level 2,Level 3,Share
2020,WEEE_Cat1,Cables,Al,0.0357
2020,WEEE_Cat1,Cables,Cu,0.17235
2020,WEEE_Cat1,Cables,,0.002651
2020,WEEE_Cat1,PCBUnspecified,Al,0.014539
2020,WEEE_Cat1,PCBUnspecified,Cu,0.069629
2020,WEEE_Cat1,PCBUnspecified,,0.002132
2020,WEEE_Cat1,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat1,AlloyZincUnspecified,,0.00432
2020,WEEE_Cat1,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat1,AluminiumAlloyUnspecified,,0.047871
2020,WEEE_Cat1,Brass,Cu,0.75
2020,WEEE_Cat1,Brass,,0.000511
2020,WEEE_Cat1,Bronze,Cu,0.88
2020,WEEE_Cat1,Bronze,,0.000394
2020,WEEE_Cat1,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat1,CopperAlloyUnspecified,,0.032145
2020,WEEE_Cat1,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat1,NiAlloyUnspecified,,0.00002
2020,WEEE_Cat_2,Cables,Al,0.026493
2020,WEEE_Cat_2,Cables,Cu,0.261212
2020,WEEE_Cat_2,Cables,,0.016901
2020,WEEE_Cat_2,PCBUnspecified,Al,0.037564
2020,WEEE_Cat_2,PCBUnspecified,Cu,0.107977
2020,WEEE_Cat_2,PCBUnspecified,,0.116499
2020,WEEE_Cat_2,AlloyZincUnspecified,Al,0.04
2020,WEEE_Cat_2,AlloyZincUnspecified,,0.001296
2020,WEEE_Cat_2,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_2,AluminiumAlloyUnspecified,,0.043877
2020,WEEE_Cat_2,Brass,Cu,0.75
2020,WEEE_Cat_2,Brass,,0.001554
2020,WEEE_Cat_2,Bronze,Cu,0.88
2020,WEEE_Cat_2,Bronze,,0.000039
2020,WEEE_Cat_2,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_2,CopperAlloyUnspecified,,0.001846
2020,WEEE_Cat_2,NiAlloyUnspecified,Cu,0.002
2020,WEEE_Cat_2,NiAlloyUnspecified,,0.000221
2020,WEEE_Cat_3,PCBUnspecified,Al,0.08359
2020,WEEE_Cat_3,PCBUnspecified,Cu,0.069855
2020,WEEE_Cat_3,PCBUnspecified,,0.029546
2020,WEEE_Cat_3,AluminiumAlloyUnspecified,Al,0.9699
2020,WEEE_Cat_3,AluminiumAlloyUnspecified,,0.195315
2020,WEEE_Cat_3,CopperAlloyUnspecified,Cu,1
2020,WEEE_Cat_3,CopperAlloyUnspecified,,0.024867
2020,WEEE_Cat_4a,Cables,Al,0.0264
2020,WEEE_Cat_4a,Cables,Cu,0.216545
2020,WEEE_Cat_4a,Cables,,0.015333
