flow_name,from_process,from_technology,to_process,to_technology
WEEE_INFLOW,,,WEEE_generated,
WEEE_generatedComplementaryMetalScrapExportedUndocumented,WEEE_generated,,,
WEEE_generatedComplementaryMSW,WEEE_generated,,,
WEEE_generatedDedicated,WEEE_generated,,,
WEEE_wasteBinLandfill,WEEE_complementary_collection,,landfilling,
WEEE_wasteBinIncineration,WEEE_complementary_collection,,incineration,
WEEE_collected,WEEE_dedicated_collection,,WEEE_categorizing,
WEEE_temperatureExchangeEquipment,WEEE_categorizing,,WEEE_separation,
WEEE_smallIT,WEEE_categorizing,,WEEE_separation,
WEEE_screensAndMonitors,WEEE_categorizing,,WEEE_separation,
WEEE_largeEquipment,WEEE_categorizing,,WEEE_separation,
WEEE_smallEquipment,WEEE_categorizing,,WEEE_separation,
WEEE_PVPanels,WEEE_categorizing,,WEEE_separation,
WEEE_lampsDirect_(without_LED),WEEE_categorizing,,lamps_comminution_and_separation,
WEEE_ironCircuit,WEEE_separation,,WEEE_comminution_and_separation,
WEEE_2RM_mechRec1Smelter_CuScrap,WEEE_separation,,,
WEEE_2RM_mechRec2Smelter_CuScrap,WEEE_comminution_and_separation,,,
WEEE_2RM_mechRec2Smelter_AlScrap,WEEE_comminution_and_separation,,,
WEEE_2RM_mechRecLampsSmelter_CuScrap,lamps_comminution_and_separation,,,
