level 0,level 1,level 2,level 3,level 4,description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGG15,"cast iron, GG15",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGG35,"cast iron, GG35",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGG40,"cast iron, GGG40",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGG60,"cast iron, GGG60",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGG70,"cast iron, GGG70",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGG-NiCr,"cast iron, GGG-NiCr",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGG-NiSiCr,"cast iron, GGG-NiSiCr",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGGL-NiCuCr,"cast iron, GGL-NiCuCr",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronGray,"cast iron, gray",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,castIron,castIronMalleable,"cast iron, malleable",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,iron,wroughtIron,,,,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,ferrochromiumHighCarbonCr,"Ferrochromium, high-carbon, 68% Cr",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,ferromanganeseHighCoalMn,"Ferromanganese, high-coal, 74.5% Mn",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,ferronickelNi,"Ferronickel, 25% Ni",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyAutomation10SPb20(1.0721),"Steel alloy, automation, 10SPb20 (1.0721)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyAutomation35S20(1.0726),"Steel alloy, automation, 35S20 (1.0726)",,,,,,,,,,,,,,,,,,,,
ferrousMetals,FeAndSteelAndSteelAlloys,steelAndSteelAlloys,alloySteel,steelAlloyAutomation9S20,"Steel alloy, automation, 9S20",,,,,,,,,,,,,,,,,,,,
