process,transformation_level,flow_input,flow_output,transfer_coefficient,uncertainty
shredding_engtrans,material,ELV_ICE_body,ALL_glass,,
shredding_elec,material,ELV_ICE_elec,ALL_plastic,,
shredding_batt,material,ELV_ICE_batt,ALL_plastic,,
shredding_tyre,material,ELV_ICE_tyres,ALL_rubber,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_parts,,
collection_ICE,none,ELV_ICE,ELV_ICE,,
dismantling_ICE,component,ELV_ICE,ELV_ICE,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_batt,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_body,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_catconv,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_elec,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_engtrans,,
shredding_engtrans,material,ELV_ICE_body,ELV_ICE_fe,,
hammermill_body,material,ELV_ICE_engtrans,ELV_ICE_fe,,
smelter_cc,element,ELV_ICE_catconv,ELV_ICE_fe,,
shredding_tyre,material,ELV_ICE_tyres,ELV_ICE_fe,,
smelter_ferrous,element,ELV_ICE_fe,ELV_ICE_fe,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_liquids,,
shredding_engtrans,material,ELV_ICE_body,ELV_ICE_nfe,,
hammermill_body,material,ELV_ICE_engtrans,ELV_ICE_nfe,,
shredding_elec,material,ELV_ICE_elec,ELV_ICE_nfe,,
smelter_nonferrous,element,ELV_ICE_nfe,ELV_ICE_nfe,,
smelter_cc,element,ELV_ICE_catconv,ELV_ICE_ree,,
smelter_ferrous,element,ELV_ICE_fe,ELV_ICE_slag_fe,,
smelter_nonferrous,element,ELV_ICE_nfe,ELV_ICE_slag_nfe,,
dismantling_ICE,component,ELV_ICE,ELV_ICE_tyres,,
shredding_engtrans,material,ELV_ICE_body,ELV_ICE_waste_shredder,,
hammermill_body,material,ELV_ICE_engtrans,ELV_ICE_waste_shredder,,
smelter_cc,element,ELV_ICE_catconv,ALL_slag_ree,,
shredding_batt,material,ELV_ICE_batt,H2SO4,,
shredding_batt,material,ELV_ICE_batt,Pb,,
PutOnMarket_ICE,none,NEW_ICE,ELV_ICE,,
