ELV_vehicle_key,year,ELV_number,component/material,Ag,Al,Au,Cu,Dy,Fe,La,Mg,Mn,Mo,Nb,Nd,Pd,Pt,Rh,Si
V00000000,2022,5,castAluminium,0.0,93.0579348874318,0.0,1.19847717011151,0.0,0.296512129494255,0.0,0.222827977554066,0.119847717011151,0.0,0.0,0.0,0.0,0.0,0.0,9.01077279750506
V00000000,2022,5,wroughtAluminium,0.0,59.7719816009898,0.0,0.00668085970894345,0.0,0.0612412139986483,0.0,0.651383821621986,0.315021093220319,0.0,0.0,0.0,0.0,0.0,0.0,0.324392854756476
V00000000,2022,5,mildSteel,0.0,0.0,0.0,0.785977034236452,0.0,385.128746775861,0.0,0.0,4.04778172631772,0.0,0.0,0.0,0.0,0.0,0.0,1.10036784793103
V00000000,2022,5,highStrengthSteel,0.0,0.0,0.0,0.372321662850453,0.0,182.437614796722,0.0,0.0,1.86160831425226,0.192007651613133,0.0776489968641708,0.0,0.0,0.0,0.0,0.521250327990634
V00000000,2022,5,castIron,0.0,0.0,0.0,0.221617027490621,0.0,105.046471030554,0.0,0.0,1.1080851374531,0.0,0.0,0.0,0.0,0.0,0.0,1.1080851374531
V00000000,2022,5,magnesium,0.0,0.467309999999999,0.0,0.0,0.0,0.0,0.0,5.155987,0.0129808333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2022,5,catalyst,0.0,0.0,0.0,0.0,0.0,0.0,0.00371610870229007,0.0,0.0,0.0,0.0,0.0,0.00415217297297296,0.00259022702702702,0.000481599999999999,0.0
V00000000,2022,5,EESystem,0.00852515087719298,0.0,0.00151165283522348,12.0227940907733,0.0051338879730713,0.0,0.0209615235215053,0.0,0.0,0.0,0.0,0.0443176021505376,0.0002961,0.0,0.0,0.0
V00000000,2022,5,powerElectronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2022,5,BMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2022,5,tractionMotorInduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2022,5,tractionMotorPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000001,2022,10,castAluminium,0.0,93.0579348874318,0.0,1.19847717011151,0.0,0.296512129494255,0.0,0.222827977554066,0.119847717011151,0.0,0.0,0.0,0.0,0.0,0.0,9.01077279750506
V00000001,2022,10,wroughtAluminium,0.0,59.7719816009898,0.0,0.00668085970894345,0.0,0.0612412139986483,0.0,0.651383821621986,0.315021093220319,0.0,0.0,0.0,0.0,0.0,0.0,0.324392854756476
V00000001,2022,10,mildSteel,0.0,0.0,0.0,0.473356108770423,0.0,231.944493297507,0.0,0.0,2.43778396016767,0.0,0.0,0.0,0.0,0.0,0.0,0.662698552278592
V00000001,2022,10,highStrengthSteel,0.0,0.0,0.0,0.224231403540989,0.0,109.873387735084,0.0,0.0,1.12115701770494,0.115636959939973,0.0467642506135785,0.0,0.0,0.0,0.0,0.313923964957385
V00000001,2022,10,castIron,0.0,0.0,0.0,0.13346926080625,0.0,63.2644296221627,0.0,0.0,0.667346304031252,0.0,0.0,0.0,0.0,0.0,0.0,0.667346304031252
V00000001,2022,10,magnesium,0.0,0.467309999999999,0.0,0.0,0.0,0.0,0.0,5.155987,0.0129808333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000001,2022,10,catalyst,0.0,0.0,0.0,0.0,0.0,0.0,0.00371610870229007,0.0,0.0,0.0,0.0,0.0,0.00415217297297296,0.00259022702702702,0.000481599999999999,0.0
V00000001,2022,10,EESystem,0.00537960811802481,0.0,0.000953895125276782,7.58671859580755,0.00323962658430486,0.0,0.013227306323004,0.0,0.0,0.0,0.0,0.0279656437445862,0.00018684736337143,0.0,0.0,0.0
V00000001,2022,10,powerElectronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000001,2022,10,BMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000001,2022,10,tractionMotorInduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000001,2022,10,tractionMotorPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2023,15,castAluminium,0.0,93.0579348874318,0.0,1.19847717011151,0.0,0.296512129494255,0.0,0.222827977554066,0.119847717011151,0.0,0.0,0.0,0.0,0.0,0.0,9.01077279750506
V00000000,2023,15,wroughtAluminium,0.0,59.7719816009898,0.0,0.00668085970894345,0.0,0.0612412139986483,0.0,0.651383821621986,0.315021093220319,0.0,0.0,0.0,0.0,0.0,0.0,0.324392854756476
V00000000,2023,15,mildSteel,0.0,0.0,0.0,0.785977034236452,0.0,385.128746775861,0.0,0.0,4.04778172631772,0.0,0.0,0.0,0.0,0.0,0.0,1.10036784793103
V00000000,2023,15,highStrengthSteel,0.0,0.0,0.0,0.372321662850453,0.0,182.437614796722,0.0,0.0,1.86160831425226,0.192007651613133,0.0776489968641708,0.0,0.0,0.0,0.0,0.521250327990634
V00000000,2023,15,castIron,0.0,0.0,0.0,0.221617027490621,0.0,105.046471030554,0.0,0.0,1.1080851374531,0.0,0.0,0.0,0.0,0.0,0.0,1.1080851374531
V00000000,2023,15,magnesium,0.0,0.467309999999999,0.0,0.0,0.0,0.0,0.0,5.155987,0.0129808333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2023,15,catalyst,0.0,0.0,0.0,0.0,0.0,0.0,0.00371610870229007,0.0,0.0,0.0,0.0,0.0,0.00415217297297296,0.00259022702702702,0.000481599999999999,0.0
V00000000,2023,15,EESystem,0.00852515087719298,0.0,0.00151165283522348,12.0227940907733,0.0051338879730713,0.0,0.0209615235215053,0.0,0.0,0.0,0.0,0.0443176021505376,0.0002961,0.0,0.0,0.0
V00000000,2023,15,powerElectronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V00000000,2023,15,BMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
