process_from,process_to,composition
collection_ICE,dismantling_ICE,ELV_ICE
PutOnMarket_ICE,collection_ICE,ELV_ICE
dismantling_ICE,market_reuse_ELVcomponents,ELV_ICE
dismantling_ICE,shredding_batt,ELV_ICE_batt
dismantling_ICE,hammermill_body,ELV_ICE_body
dismantling_ICE,smelter_cc,ELV_ICE_catconv
dismantling_ICE,shredding_elec,ELV_ICE_elec
dismantling_ICE,shredding_engtrans,ELV_ICE_engtrans
dismantling_ICE,market_waste_oil,ELV_ICE_liquids
dismantling_ICE,shredding_tyre,ELV_ICE_tyres
dismantling_ICE,market_reuse_ELVcomponents,ELV_ICE_parts
hammermill_body,smelter_ferrous,ELV_ICE_fe
hammermill_body,smelter_nonferrous,ELV_ICE_nfe
hammermill_body,market_waste,ELV_ICE_waste_shredder
shredding_batt,market_waste_plastic,ALL_plastic
shredding_batt,market_H2SO4,H2SO4
shredding_batt,market_lead,Pb
shredding_elec,market_waste_plastic,ALL_plastic
shredding_elec,smelter_nonferrous,ELV_ICE_nfe
shredding_engtrans,market_waste_glass,ALL_glass
shredding_engtrans,smelter_ferrous,ELV_ICE_fe
shredding_engtrans,smelter_nonferrous,ELV_ICE_nfe
shredding_engtrans,market_waste,ELV_ICE_waste_shredder
shredding_tyre,market_waste_rubber,ALL_rubber
shredding_tyre,smelter_ferrous,ELV_ICE_fe
smelter_cc,market_waste_slag,ALL_slag_ree
smelter_cc,market_ree,ELV_ICE_ree
smelter_ferrous,market_ferrous,ELV_ICE_fe
smelter_ferrous,market_waste_slag,ELV_ICE_slag_fe
smelter_nonferrous,market_nonferrous,ELV_ICE_nfe
smelter_nonferrous,market_waste_slag,ELV_ICE_slag_nfe
