process_from,process_to,composition,name_origin,uuid_origin,description_origin,tags_origin,WS_origin,transformation_level_origin,consumption_energy_origin,consumption_water_origin,cost_operation_origin,name_destination,uuid_destination,description_destination,tags_destination,WS_destination,transformation_level_destination,consumption_energy_destination,consumption_water_destination,cost_operation_destination,transfer_coefficient,low_transfer_coefficient,high_transfer_coefficient,Technology_Used,Reason_for_Technology_Selection,TLR,Scientific_References,Remarks
PutOnMarket_ICE,collection_ICE,ELV_ICE,PutOnMarket_ICE,ELV_pom_ice,put on market for ICE vehicles,,ELV,input,1.0,2.0,3.0,collection_ICE,ELV_cl_ice,collection of an ice car,collection,ELV,market,1.0,1.0,0.1,1.0,0.9,1.1,,,,,
collection_ICE,dismantling_ICE,ELV_ICE,collection_ICE,ELV_cl_ice,collection of an ice car,collection,ELV,market,1.0,1.0,0.1,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,1.0,0.9,1.1,,,,,
dismantling_ICE,hammermill_body,ELV_ICE_body,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,hammermill_body,ELV_hm_b,hammermillilng of car body,mechanical,ELV,material,5.0,2.0,1.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,market_reuse_ELVcomponents,ELV_ICE,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,market_reuse_ELVcomponents,ELV_ru_com,direct or indirect reuse of components from an elv,,ELV,component,1.0,2.0,20.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,market_reuse_ELVcomponents,ELV_ICE_parts,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,market_reuse_ELVcomponents,ELV_ru_com,direct or indirect reuse of components from an elv,,ELV,component,1.0,2.0,20.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,market_waste_oil,ELV_ICE_liquids,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,market_waste_oil,mkt_w_pla,market for waste oil,market,,market,1.0,2.0,3.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,shredding_batt,ELV_ICE_batt,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,shredding_batt,ELV_sh_b,shredding of a lead acid battery,shredding,ELV,material,6.0,42.0,25.2,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,shredding_elec,ELV_ICE_elec,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,shredding_elec,ELV_sh_e,shredding of electrical components,shredding,ELV,material,4.0,3.0,1.2,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,shredding_engtrans,ELV_ICE_engtrans,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,shredding_engtrans,ELV_sh_et,shredding of car engine and transmission,shredding,ELV,material,10.0,4.0,4.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,shredding_tyre,ELV_ICE_tyres,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,shredding_tyre,ELV_sh_t,shredding of tyres,shredding,ELV,material,2.0,6.0,1.2,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
dismantling_ICE,smelter_cc,ELV_ICE_catconv,dismantling_ICE,ELV_dm_ice,manual dismantling of an ice car,"manual, mechanical",ELV,component,4.0,2.0,0.8,smelter_cc,ELV_sh_cc,smelting of catalytic converters,smelter,ELV,element,50.0,20.0,10.0,0.1111111111111111,0.09999999999999999,0.12222222222222223,,,,,
hammermill_body,market_waste,ELV_ICE_waste_shredder,hammermill_body,ELV_hm_b,hammermillilng of car body,mechanical,ELV,material,5.0,2.0,1.0,market_waste,mkt_w_gen,market for waste (general),market,,market,1.0,2.0,10.0,0.3333333333333333,0.3,0.3666666666666667,,,,,
hammermill_body,smelter_ferrous,ELV_ICE_fe,hammermill_body,ELV_hm_b,hammermillilng of car body,mechanical,ELV,material,5.0,2.0,1.0,smelter_ferrous,ELV_sm_f,smelting of ferrous fractions,smelter,ELV,element,60.0,33.0,19.8,0.3333333333333333,0.3,0.3666666666666667,,,,,
hammermill_body,smelter_nonferrous,ELV_ICE_nfe,hammermill_body,ELV_hm_b,hammermillilng of car body,mechanical,ELV,material,5.0,2.0,1.0,smelter_nonferrous,ELV_sm_nf,smelting of nonferrous fractions,smelter,ELV,element,45.0,42.0,18.9,0.3333333333333333,0.3,0.3666666666666667,,,,,
shredding_batt,market_H2SO4,H2SO4,shredding_batt,ELV_sh_b,shredding of a lead acid battery,shredding,ELV,material,6.0,42.0,25.2,market_H2SO4,mkt_w_H2SO4,market for waste H2SO4,market,,market,1.0,2.0,-10.0,0.3333333333333333,0.3,0.3666666666666667,,,,,
shredding_batt,market_lead,Pb,shredding_batt,ELV_sh_b,shredding of a lead acid battery,shredding,ELV,material,6.0,42.0,25.2,market_lead,mkt_w_pb,market for waste lead,market,,market,1.0,2.0,-20.0,0.3333333333333333,0.3,0.3666666666666667,,,,,
shredding_batt,market_waste_plastic,ALL_plastic,shredding_batt,ELV_sh_b,shredding of a lead acid battery,shredding,ELV,material,6.0,42.0,25.2,market_waste_plastic,mkt_w_pla,market for waste plastic,market,,market,1.0,2.0,-1.0,0.3333333333333333,0.3,0.3666666666666667,,,,,
