flows,,,,,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0,F0
products,,,,,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2
components,,,,,∅,C1,C1,C1,C2,C2,C2,∅,C1,C1,C1,C2,C2,C2
materials,,,,,∅,∅,M1,M2,∅,M1,M2,∅,∅,M1,M2,∅,M1,M2
elements,,,,,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
flows,products,components,materials,elements,,,,,,,,,,,,,,
F0,Cat_1,C1,∅,∅,-0.8,1,0,0,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M1,∅,0,-0.6,1,0,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M1,Al,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M1,Cu,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M2,∅,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M2,Al,0,0,0,-0.9,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C1,M2,Cu,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0
F0,Cat_1,C2,∅,∅,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0
F0,Cat_1,C2,M1,∅,0,0,0,0,-0.2,1,0,0,0,0,0,0,0,0
F0,Cat_1,C2,M1,Al,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0
F0,Cat_1,C2,M1,Cu,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,0
F0,Cat_1,C2,M2,∅,0,0,0,0,-0.8,0,1,0,0,0,0,0,0,0
F0,Cat_1,C2,M2,Al,0,0,0,0,0,0,-0.7,0,0,0,0,0,0,0
F0,Cat_1,C2,M2,Cu,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0
F0,Cat_2,C1,∅,∅,0,0,0,0,0,0,0,-0.6,1,0,0,0,0,0
F0,Cat_2,C1,M1,∅,0,0,0,0,0,0,0,0,-0.5,1,0,0,0,0
F0,Cat_2,C1,M1,Al,0,0,0,0,0,0,0,0,0,-0.4,0,0,0,0
F0,Cat_2,C1,M1,Cu,0,0,0,0,0,0,0,0,0,-0.6,0,0,0,0
F0,Cat_2,C1,M2,∅,0,0,0,0,0,0,0,0,-0.5,0,1,0,0,0
F0,Cat_2,C1,M2,Al,0,0,0,0,0,0,0,0,0,0,-0.8,0,0,0
F0,Cat_2,C1,M2,Cu,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0
F0,Cat_2,C2,∅,∅,0,0,0,0,0,0,0,-0.4,0,0,0,1,0,0
F0,Cat_2,C2,M1,∅,0,0,0,0,0,0,0,0,0,0,0,-0.4,1,0
F0,Cat_2,C2,M1,Al,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0
F0,Cat_2,C2,M1,Cu,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0
F0,Cat_2,C2,M2,∅,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,1
F0,Cat_2,C2,M2,Al,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
F0,Cat_2,C2,M2,Cu,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
