inflow,inflow,inflow,inflow,inflow,outflow,outflow,outflow,outflow,outflow,TC
flows,products,components,materials,elements,flows,products,components,materials,elements,value
WEEE_INFLOW,Cat_1,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_1,∅,∅,∅,0.409
WEEE_INFLOW,Cat_2,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_2,∅,∅,∅,0.347
WEEE_INFLOW,Cat_3,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_3,∅,∅,∅,0.474
WEEE_INFLOW,Cat_4a,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_4a,∅,∅,∅,0.384
WEEE_INFLOW,Cat_4b,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_4b,∅,∅,∅,0.821
WEEE_INFLOW,Cat_5,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_5,∅,∅,∅,0.45
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_6,∅,∅,∅,0.04
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedComplementaryMetalScrapExportedUndocumented,Cat_6,∅,∅,∅,0.42
WEEE_INFLOW,Cat_2,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_2,∅,∅,∅,0.028
WEEE_INFLOW,Cat_1,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_1,∅,∅,∅,0.002
WEEE_INFLOW,Cat_3,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_3,∅,∅,∅,0.134
WEEE_INFLOW,Cat_4a,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_4a,∅,∅,∅,0.004
WEEE_INFLOW,Cat_4b,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_4b,∅,∅,∅,0.0
WEEE_INFLOW,Cat_5,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_5,∅,∅,∅,0.179
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_6,∅,∅,∅,0.24
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedComplementaryMSW,Cat_6,∅,∅,∅,0.03
WEEE_INFLOW,Cat_1,∅,∅,∅,WEEE_generatedDedicated,Cat_1,∅,∅,∅,0.589
WEEE_INFLOW,Cat_2,∅,∅,∅,WEEE_generatedDedicated,Cat_2,∅,∅,∅,0.625
WEEE_INFLOW,Cat_3,∅,∅,∅,WEEE_generatedDedicated,Cat_3,∅,∅,∅,0.391
WEEE_INFLOW,Cat_4a,∅,∅,∅,WEEE_generatedDedicated,Cat_4a,∅,∅,∅,0.612
WEEE_INFLOW,Cat_4b,∅,∅,∅,WEEE_generatedDedicated,Cat_4b,∅,∅,∅,0.179
WEEE_INFLOW,Cat_5,∅,∅,∅,WEEE_generatedDedicated,Cat_5,∅,∅,∅,0.371
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedDedicated,Cat_6,∅,∅,∅,0.12
WEEE_INFLOW,Cat_6,∅,∅,∅,WEEE_generatedDedicated,Cat_6,∅,∅,∅,0.15
WEEE_generatedComplementaryMSW,Cat_1,∅,∅,∅,WEEE_wasteBinLandfill,Cat_1,∅,∅,∅,0.99
WEEE_generatedComplementaryMSW,Cat_2,∅,∅,∅,WEEE_wasteBinLandfill,Cat_2,∅,∅,∅,0.99
WEEE_generatedComplementaryMSW,Cat_3,∅,∅,∅,WEEE_wasteBinLandfill,Cat_3,∅,∅,∅,0.8
WEEE_generatedComplementaryMSW,Cat_4a,∅,∅,∅,WEEE_wasteBinLandfill,Cat_4a,∅,∅,∅,1.0
WEEE_generatedComplementaryMSW,Cat_4b,∅,∅,∅,WEEE_wasteBinLandfill,Cat_4b,∅,∅,∅,1.0
WEEE_generatedComplementaryMSW,Cat_5,∅,∅,∅,WEEE_wasteBinLandfill,Cat_5,∅,∅,∅,0.8
WEEE_generatedComplementaryMSW,Cat_6,∅,∅,∅,WEEE_wasteBinLandfill,Cat_6,∅,∅,∅,0.9
WEEE_generatedComplementaryMSW,Cat_1,∅,∅,∅,WEEE_wasteBinIncineration,Cat_1,∅,∅,∅,0.01
WEEE_generatedComplementaryMSW,Cat_2,∅,∅,∅,WEEE_wasteBinIncineration,Cat_2,∅,∅,∅,0.01
WEEE_generatedComplementaryMSW,Cat_3,∅,∅,∅,WEEE_wasteBinIncineration,Cat_3,∅,∅,∅,0.2
WEEE_generatedComplementaryMSW,Cat_4a,∅,∅,∅,WEEE_wasteBinIncineration,Cat_4a,∅,∅,∅,0.0
WEEE_generatedComplementaryMSW,Cat_4b,∅,∅,∅,WEEE_wasteBinIncineration,Cat_4b,∅,∅,∅,0.0
WEEE_generatedComplementaryMSW,Cat_5,∅,∅,∅,WEEE_wasteBinIncineration,Cat_5,∅,∅,∅,0.2
WEEE_generatedComplementaryMSW,Cat_6,∅,∅,∅,WEEE_wasteBinIncineration,Cat_6,∅,∅,∅,0.1
WEEE_generatedDedicated,Cat_1,∅,∅,∅,WEEE_collected,Cat_1,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_2,∅,∅,∅,WEEE_collected,Cat_2,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_3,∅,∅,∅,WEEE_collected,Cat_3,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_4a,∅,∅,∅,WEEE_collected,Cat_4a,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_4b,∅,∅,∅,WEEE_collected,Cat_4b,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_5,∅,∅,∅,WEEE_collected,Cat_5,∅,∅,∅,1.0
WEEE_generatedDedicated,Cat_6,∅,∅,∅,WEEE_collected,Cat_6,∅,∅,∅,1.0
WEEE_collected,Cat_1,∅,∅,∅,WEEE_temperatureExchangeEquipment,Cat_1,∅,∅,∅,1.0
WEEE_collected,Cat_6,∅,∅,∅,WEEE_smallIT,Cat_6,∅,∅,∅,1.0
WEEE_collected,Cat_2,∅,∅,∅,WEEE_screensAndMonitors,Cat_2,∅,∅,∅,1.0
WEEE_collected,Cat_4a,∅,∅,∅,WEEE_largeEquipment,Cat_4a,∅,∅,∅,1.0
WEEE_collected,Cat_5,∅,∅,∅,WEEE_smallEquipment,Cat_5,∅,∅,∅,1.0
WEEE_collected,Cat_4b,∅,∅,∅,WEEE_PVPanels,Cat_4b,∅,∅,∅,1.0
WEEE_collected,Cat_3,∅,∅,∅,WEEE_lampsDirect_(without_LED),Cat_3,∅,∅,∅,1.0
WEEE_temperatureExchangeEquipment,Cat_1,∅,∅,∅,WEEE_ironCircuit,∅,∅,AgAlloyUnspecified,∅,0.95
