flows,products,components,materials,elements,mass (tonnes)
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,-1,PCBUnspecified,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,-1,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,-1,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,Cables,AluminiumAlloyUnspecified,Cu,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,-1,-1,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,-1,Al,0.0
WEEE_2RM_mechRec1Smelter_CuScrap,Cat_1,PCBUnspecified,-1,Cu,0.0
