flow,product,component,material,element,mass
F1,P1,∅,∅,∅,1000.0
F1,P1,C1,∅,∅,250.0
F1,P1,C1,M1,∅,130.0
F1,P1,C1,M1,E1,91.0
F1,P1,C1,M1,E2,39.0
F1,P1,C1,M2,∅,120.0
F1,P1,C1,M2,E1,117.6
F1,P1,C1,M2,E2,2.4
F1,P1,C2,∅,∅,590.0
F1,P1,C2,M1,∅,389.40000000000003
F1,P1,C2,M1,E1,109.03200000000002
F1,P1,C2,M1,E2,280.368
F1,P1,C2,M2,∅,200.60000000000002
F1,P1,C2,M2,E1,16.048000000000002
F1,P1,C2,M2,E2,184.55200000000002
F1,P1,C3,∅,∅,160.0
F1,P1,C3,M1,∅,78.4
F1,P1,C3,M1,E1,25.088
F1,P1,C3,M1,E2,53.312000000000005
F1,P1,C3,M2,∅,81.6
F1,P1,C3,M2,E1,14.687999999999999
F1,P1,C3,M2,E2,66.91199999999999
F1,P2,∅,∅,∅,700.0
F1,P2,C1,∅,∅,301.0
F1,P2,C1,M1,∅,156.52
F1,P2,C1,M1,E1,40.69520000000001
F1,P2,C1,M1,E2,115.82480000000001
F1,P2,C1,M2,∅,144.48
F1,P2,C1,M2,E1,88.13279999999999
F1,P2,C1,M2,E2,56.3472
F1,P2,C2,∅,∅,49.00000000000001
F1,P2,C2,M1,∅,43.61000000000001
F1,P2,C2,M1,E1,20.060600000000004
F1,P2,C2,M1,E2,23.549400000000006
F1,P2,C2,M2,∅,5.390000000000001
F1,P2,C2,M2,E1,2.6950000000000003
F1,P2,C2,M2,E2,2.6950000000000003
F1,P2,C3,∅,∅,350.0
F1,P2,C3,M1,∅,122.49999999999999
F1,P2,C3,M1,E1,85.74999999999999
F1,P2,C3,M1,E2,36.74999999999999
F1,P2,C3,M2,∅,227.5
F1,P2,C3,M2,E1,65.975
F1,P2,C3,M2,E2,161.525
F2,P1,C1,∅,∅,62.5
F2,P1,C1,M1,∅,32.5
F2,P1,C1,M1,E1,22.75
F2,P1,C1,M1,E2,9.75
F2,P1,C1,M2,∅,30.0
F2,P1,C1,M2,E1,29.4
F2,P1,C1,M2,E2,0.6
F2,P1,C2,∅,∅,27.759618908024915
F2,P1,C2,M1,∅,18.321348479296446
F2,P1,C2,M1,E1,5.129977574203005
F2,P1,C2,M1,E2,13.19137090509344
F2,P1,C2,M2,∅,9.438270428728472
F2,P1,C2,M2,E1,0.7550616342982778
F2,P1,C2,M2,E2,8.683208794430195
F2,P2,C1,∅,∅,24.080000000000002
F2,P2,C1,M1,∅,12.521600000000001
F2,P2,C1,M1,E1,3.2556160000000007
F2,P2,C1,M1,E2,9.265984000000001
F2,P2,C1,M2,∅,11.558399999999999
F2,P2,C1,M2,E1,7.050623999999999
F2,P2,C1,M2,E2,4.507776
F2,P2,C2,∅,∅,23.80715005496519
F2,P2,C2,M1,∅,21.18836354891902
F2,P2,C2,M1,E1,9.74664723250275
F2,P2,C2,M1,E2,11.441716316416272
F2,P2,C2,M2,∅,2.6187865060461712
F2,P2,C2,M2,E1,1.3093932530230856
F2,P2,C2,M2,E2,1.3093932530230856
F3,P1,C2,∅,∅,26.860241846830345
F3,P1,C2,M1,∅,17.72775961890803
F3,P1,C2,M1,E1,4.963772693294248
F3,P1,C2,M1,E2,12.763986925613779
F3,P1,C2,M2,∅,9.132482227922319
F3,P1,C2,M2,E1,0.7305985782337854
F3,P1,C2,M2,E2,8.401883649688532
F3,P1,C3,∅,∅,13.03727846811978
F3,P1,C3,M1,∅,6.388266449378692
F3,P1,C3,M1,E1,2.0442452638011814
F3,P1,C3,M1,E2,4.344021185577511
F3,P1,C3,M2,∅,6.649012018741087
F3,P1,C3,M2,E1,1.1968221633733958
F3,P1,C3,M2,E2,5.452189855367691
F3,P2,C2,∅,∅,12.541279772810556
F3,P2,C2,M1,∅,11.161738997801395
F3,P2,C2,M1,E1,5.134399938988642
F3,P2,C2,M1,E2,6.027339058812753
F3,P2,C2,M2,∅,1.379540775009161
F3,P2,C2,M2,E1,0.6897703875045805
F3,P2,C2,M2,E2,0.6897703875045805
F4,P1,C2,∅,∅,5.551923781604984
F4,P1,C2,M1,∅,3.6642696958592893
F4,P1,C2,M1,E1,1.025995514840601
F4,P1,C2,M1,E2,2.638274181018688
F4,P1,C2,M2,∅,1.8876540857456945
F4,P1,C2,M2,E1,0.15101232685965557
F4,P1,C2,M2,E2,1.736641758886039
F4,P2,C2,∅,∅,4.761430010993038
F4,P2,C2,M1,∅,4.237672709783804
F4,P2,C2,M1,E1,1.9493294465005502
F4,P2,C2,M1,E2,2.2883432632832545
F4,P2,C2,M2,∅,0.5237573012092342
F4,P2,C2,M2,E1,0.2618786506046171
F4,P2,C2,M2,E2,0.2618786506046171
F5,P1,C1,M1,∅,12.675
F5,P1,C1,M1,E1,8.8725
F5,P1,C1,M1,E2,3.8025
F5,P1,C1,M2,∅,9.6
F5,P1,C1,M2,E1,9.408
F5,P1,C1,M2,E2,0.192
F5,P1,C2,M1,∅,1.8321348479296446
F5,P1,C2,M1,E1,0.5129977574203005
F5,P1,C2,M1,E2,1.319137090509344
F5,P1,C2,M2,∅,4.719135214364236
F5,P1,C2,M2,E1,0.3775308171491389
F5,P1,C2,M2,E2,4.3416043972150975
F5,P2,C1,M1,∅,4.883424000000001
F5,P2,C1,M1,E1,1.2696902400000003
F5,P2,C1,M1,E2,3.6137337600000006
F5,P2,C1,M2,∅,3.6986879999999998
F5,P2,C1,M2,E1,2.25619968
F5,P2,C1,M2,E2,1.44248832
F5,P2,C2,M1,∅,2.118836354891902
F5,P2,C2,M1,E1,0.9746647232502751
F5,P2,C2,M1,E2,1.1441716316416273
F5,P2,C2,M2,∅,1.3093932530230856
F5,P2,C2,M2,E1,0.6546966265115428
F5,P2,C2,M2,E2,0.6546966265115428
