flows,products,components,materials,elements,0
F0,∅,∅,∅,∅,0.0
F0,∅,∅,∅,Al,0.0
F0,∅,∅,∅,Cu,0.0
F0,∅,∅,M1,∅,0.0
F0,∅,∅,M1,Al,0.0
F0,∅,∅,M1,Cu,0.0
F0,∅,∅,M2,∅,0.0
F0,∅,∅,M2,Al,0.0
F0,∅,∅,M2,Cu,0.0
F0,∅,C1,∅,∅,0.0
F0,∅,C1,∅,Al,0.0
F0,∅,C1,∅,Cu,0.0
F0,∅,C1,M1,∅,0.0
F0,∅,C1,M1,Al,0.0
F0,∅,C1,M1,Cu,0.0
F0,∅,C1,M2,∅,0.0
F0,∅,C1,M2,Al,0.0
F0,∅,C1,M2,Cu,0.0
F0,∅,C2,∅,∅,0.0
F0,∅,C2,∅,Al,0.0
F0,∅,C2,∅,Cu,0.0
F0,∅,C2,M1,∅,0.0
F0,∅,C2,M1,Al,0.0
F0,∅,C2,M1,Cu,0.0
F0,∅,C2,M2,∅,0.0
F0,∅,C2,M2,Al,0.0
F0,∅,C2,M2,Cu,0.0
F0,Cat_1,∅,∅,∅,1000000.0
F0,Cat_1,∅,∅,Al,0.0
F0,Cat_1,∅,∅,Cu,0.0
F0,Cat_1,∅,M1,∅,0.0
F0,Cat_1,∅,M1,Al,0.0
F0,Cat_1,∅,M1,Cu,0.0
F0,Cat_1,∅,M2,∅,0.0
F0,Cat_1,∅,M2,Al,0.0
F0,Cat_1,∅,M2,Cu,0.0
F0,Cat_1,C1,∅,∅,800000.0
F0,Cat_1,C1,∅,Al,0.0
F0,Cat_1,C1,∅,Cu,0.0
F0,Cat_1,C1,M1,∅,480000.0
F0,Cat_1,C1,M1,Al,240000.0
F0,Cat_1,C1,M1,Cu,240000.0
F0,Cat_1,C1,M2,∅,320000.0
F0,Cat_1,C1,M2,Al,288000.0
F0,Cat_1,C1,M2,Cu,32000.0
F0,Cat_1,C2,∅,∅,200000.0
F0,Cat_1,C2,∅,Al,0.0
F0,Cat_1,C2,∅,Cu,0.0
F0,Cat_1,C2,M1,∅,40000.0
F0,Cat_1,C2,M1,Al,24000.0
F0,Cat_1,C2,M1,Cu,16000.0
F0,Cat_1,C2,M2,∅,160000.0
F0,Cat_1,C2,M2,Al,112000.0
F0,Cat_1,C2,M2,Cu,48000.0
F0,Cat_2,∅,∅,∅,800000.0
F0,Cat_2,∅,∅,Al,0.0
F0,Cat_2,∅,∅,Cu,0.0
F0,Cat_2,∅,M1,∅,0.0
F0,Cat_2,∅,M1,Al,0.0
F0,Cat_2,∅,M1,Cu,0.0
F0,Cat_2,∅,M2,∅,0.0
F0,Cat_2,∅,M2,Al,0.0
F0,Cat_2,∅,M2,Cu,0.0
F0,Cat_2,C1,∅,∅,480000.0
F0,Cat_2,C1,∅,Al,0.0
F0,Cat_2,C1,∅,Cu,0.0
F0,Cat_2,C1,M1,∅,240000.0
F0,Cat_2,C1,M1,Al,96000.0
F0,Cat_2,C1,M1,Cu,144000.0
F0,Cat_2,C1,M2,∅,240000.0
F0,Cat_2,C1,M2,Al,192000.0
F0,Cat_2,C1,M2,Cu,48000.0
