,,,components,components,elements,elements,materials,materials,products,products,products,products,products,products,products
,,,Cables,PCBUnspecified,Al,Cu,AlloyZincUnspecified,AluminiumAlloyUnspecified,Cat_1,Cat_2,Cat_3,Cat_4a,Cat_4b,Cat_5,Cat_6
products,components,materials,,,,,,,,,,,,,
-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,-1,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,Cables,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,PCBUnspecified,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
-1,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,1626659.282,0.0,,,,,
Cat_1,-1,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,Cables,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,PCBUnspecified,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790116.1025,,,,,
Cat_2,-1,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,Cables,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,PCBUnspecified,AlloyZincUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cat_3,-1,-1,,,,,,,,,,,,,
Cat_4a,-1,-1,,,,,,,,,,,,,
Cat_4b,-1,-1,,,,,,,,,,,,,
Cat_5,-1,-1,,,,,,,,,,,,,
Cat_6,-1,-1,,,,,,,,,,,,,
