flows,,,,,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW,WEEE_INFLOW
products,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_1,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2,Cat_2
components,,,,,-1,-1,-1,-1,-1,-1,Cables,Cables,Cables,Cables,Cables,Cables,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,-1,-1,-1,-1,-1,-1,Cables,Cables,Cables,Cables,Cables,Cables,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,-1,-1,-1,-1,-1,-1,Cables,Cables,Cables,Cables,Cables,Cables,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified,PCBUnspecified
materials,,,,,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,-1,-1,-1,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified,AluminiumAlloyUnspecified
elements,,,,,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu,-1,Al,Cu
flows,products,components,materials,elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEE_INFLOW,-1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEE_INFLOW,-1,-1,-1,Al,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEE_INFLOW,-1,-1,-1,Cu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEE_INFLOW,-1,-1,AluminiumAlloyUnspecified,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEE_INFLOW,-1,-1,AluminiumAlloyUnspecified,Al,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
