,,,products,products,components,components,materials,elements,elements
,,,Cat_1,Cat_2,Cables,PCBUnspecified,AluminiumAlloyUnspecified,Al,Cu
products,components,materials,,,,,,,
-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,-1,-1,1626659.282,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_1,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_2,-1,-1,0.0,790116.1025,0.0,0.0,0.0,0.0,0.0
Cat_2,-1,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_2,Cables,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_2,Cables,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_2,PCBUnspecified,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat_2,PCBUnspecified,AluminiumAlloyUnspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
