,health
hydrogen,False
helium,False
lithium,False
beryllium,True
boron,False
carbon,False
nitrogen,False
oxygen,False
fluorine,True
neon,False
sodium,True
magnesium,False
aluminum,True
silicon,False
phosphorus,False
sulfur,False
chlorine,True
argon,False
potassium,True
calcium,False
scandium,False
titanium,False
vanadium,False
chromium,False
manganese,False
iron,False
cobalt,False
nickel,False
copper,False
zinc,False
gallium,False
germanium,False
arsenic,True
selenium,True
bromine,True
krypton,False
rubidium,True
strontium,False
yttrium,False
zirconium,False
niobium,False
molybdenum,False
technetium,True
ruthenium,False
rhodium,False
palladium,False
silver,False
cadmium,True
indium,True
tin,True
antimony,True
tellurium,True
iodine,True
xenon,False
cesium,True
barium,False
lanthanum,False
cerium,False
praseodymium,False
neodymium,False
promethium,True
samarium,False
europium,False
gadolinium,False
terbium,False
dysprosium,False
holmium,False
erbium,False
thulium,False
ytterbium,False
lutetium,False
hafnium,False
tantalum,False
tungsten,False
rhenium,False
osmium,False
iridium,False
platinum,False
gold,False
mercury,True
thallium,True
lead,True
bismuth,False
polonium,True
astatine,True
radon,True
francium,True
radium,True
actinium,True
thorium,True
protactinium,True
uranium,True
neptunium,True
plutonium,True
americium,True
curium,True
berkelium,True
californium,True
einsteinium,True
fermium,True
nobelium,True
lawrencium,True
rutherfordium,True
dubnium,True
bohrium,True
hassium,True
meitnerium,True
darmstadtium,True
roentgenium,True
copernicium,True
nihonium,True
flerovium,True
livermorium,True
tennessine,True
oganesson,True
